bucket,demand_share
<50,0.3846500738767151
51-150,0.2661387864682709
151-300,0.27559233479684697
301-600,0.07204266246958564
601-1000,0.0015761423885814446
1001-1400,0.0
1401-1800,0.0
>1800,0.0
