bucket,demand,demand_share,market_type
51-150,0.0,0.0,MI
151-300,0.0,0.0,MI
301-600,0.013111829551521835,0.41840550252994924,MI
601-1000,0.018225783056914874,0.5815944974700508,MI
1001-1400,0.0,0.0,MI
1401-1800,0.0,0.0,MI
>1800,0.0,0.0,MI
<50,0.0,0.0,MN
51-150,0.0,0.0,MN
151-300,0.0,0.0,MN
301-600,0.0,0.0,MN
601-1000,0.010852736561260911,0.8837966670914883,MN
1001-1400,0.0014269392571334856,0.11620333290851176,MN
1401-1800,0.0,0.0,MN
>1800,0.0,0.0,MN
<50,0.0,0.0,MO
51-150,0.0,0.0,MO
151-300,0.0,0.0,MO
301-600,0.012577081080408432,0.6578317104606742,MO
601-1000,0.006541913763426026,0.3421682895393258,MO
1001-1400,0.0,0.0,MO
1401-1800,0.0,0.0,MO
>1800,0.0,0.0,MO
<50,0.0,0.0,MS
51-150,0.0,0.0,MS
151-300,0.0008922127860394645,0.2084199888946951,MS
301-600,0.0033886279853812553,0.7915800111053048,MS
601-1000,0.0,0.0,MS
1001-1400,0.0,0.0,MS
1401-1800,0.0,0.0,MS
>1800,0.0,0.0,MS
<50,0.0,0.0,MT
51-150,0.0,0.0,MT
151-300,0.0,0.0,MT
301-600,0.0,0.0,MT
601-1000,0.0,0.0,MT
1001-1400,0.0,0.0,MT
1401-1800,0.0023791120959977567,0.9195008257346294,MT
>1800,0.00020828318349748467,0.0804991742653706,MT
<50,0.0,0.0,NC
51-150,0.0017243445191475215,0.05782403421214194,NC
151-300,0.011773008372020376,0.3947951417620964,NC
301-600,0.016323197380736894,0.5473808240257616,NC
601-1000,0.0,0.0,NC
1001-1400,0.0,0.0,NC
1401-1800,0.0,0.0,NC
>1800,0.0,0.0,NC
<50,0.0,0.0,ND
51-150,0.0,0.0,ND
151-300,0.0,0.0,ND
301-600,0.0,0.0,ND
601-1000,0.0,0.0,ND
1001-1400,0.0025584572540008413,0.945245720180178,ND
1401-1800,0.00014820113056519604,0.05475427981982194,ND
>1800,0.0,0.0,ND
<50,0.0,0.0,NE
51-150,0.0,0.0,NE
151-300,0.0,0.0,NE
301-600,0.0,0.0,NE
601-1000,0.0037469913010993367,0.9473454269641615,NE
1001-1400,0.00020826218347898365,0.05265457303583843,NE
1401-1800,0.0,0.0,NE
>1800,0.0,0.0,NE
<50,0.0,0.0,NH
51-150,0.0,0.0,NH
151-300,0.0,0.0,NH
301-600,0.0,0.0,NH
601-1000,0.00496475037394508,0.9765609448479398,NH
1001-1400,0.0001191621049818145,0.023439055152060184,NH
1401-1800,0.0,0.0,NH
>1800,0.0,0.0,NH
<50,0.0,0.0,NJ
51-150,0.0,0.0,NJ
151-300,0.0,0.0,NJ
301-600,0.0,0.0,NJ
601-1000,0.03535107214429456,1.0,NJ
1001-1400,0.0,0.0,NJ
1401-1800,0.0,0.0,NJ
>1800,0.0,0.0,NJ
<50,0.0,0.0,NM
51-150,0.0,0.0,NM
151-300,0.0,0.0,NM
301-600,0.0,0.0,NM
601-1000,0.0,0.0,NM
1001-1400,0.00692737910302099,1.0,NM
1401-1800,0.0,0.0,NM
>1800,0.0,0.0,NM
<50,0.0,0.0,NV
51-150,0.0,0.0,NV
151-300,0.0,0.0,NV
301-600,0.0,0.0,NV
601-1000,0.0,0.0,NV
1001-1400,0.0,0.0,NV
1401-1800,0.010704557430715097,0.7643357927110919,NV
>1800,0.0033004879077298465,0.2356642072889082,NV
<50,0.0,0.0,NY
51-150,0.0,0.0,NY
151-300,0.0,0.0,NY
301-600,0.0,0.0,NY
601-1000,0.07459944372210993,1.0,NY
1001-1400,0.0,0.0,NY
1401-1800,0.0,0.0,NY
>1800,0.0,0.0,NY
<50,0.0,0.0,OH
51-150,0.0,0.0,OH
151-300,0.0,0.0,OH
301-600,0.03330128633843327,1.0,OH
601-1000,0.0,0.0,OH
1001-1400,0.0,0.0,OH
1401-1800,0.0,0.0,OH
>1800,0.0,0.0,OH
<50,0.0,0.0,OK
51-150,0.0,0.0,OK
151-300,0.0,0.0,OK
301-600,0.0,0.0,OK
601-1000,0.009988580799939686,1.0,OK
1001-1400,0.0,0.0,OK
1401-1800,0.0,0.0,OK
>1800,0.0,0.0,OK
<50,0.0,0.0,OR
51-150,0.0,0.0,OR
151-300,0.0,0.0,OR
301-600,0.0,0.0,OR
601-1000,0.0,0.0,OR
1001-1400,0.0,0.0,OR
1401-1800,0.0,0.0,OR
>1800,0.011594766214989036,1.0,OR
<50,0.0,0.0,PA
51-150,0.0,0.0,PA
151-300,0.0,0.0,PA
301-600,0.011388444033219194,0.2739552833876171,PA
601-1000,0.030182004590346048,0.7260447166123829,PA
1001-1400,0.0,0.0,PA
1401-1800,0.0,0.0,PA
>1800,0.0,0.0,PA
<50,0.0,0.0,RI
51-150,0.0,0.0,RI
151-300,0.0,0.0,RI
301-600,0.0,0.0,RI
601-1000,0.004430023902851059,1.0,RI
1001-1400,0.0,0.0,RI
1401-1800,0.0,0.0,RI
>1800,0.0,0.0,RI
<50,0.0,0.0,SC
51-150,0.003299486906847965,0.2516419535960683,SC
151-300,0.009812344644675633,0.7483580464039317,SC
301-600,0.0,0.0,SC
601-1000,0.0,0.0,SC
1001-1400,0.0,0.0,SC
1401-1800,0.0,0.0,SC
>1800,0.0,0.0,SC
<50,0.0,0.0,SD
51-150,0.0,0.0,SD
151-300,0.0,0.0,SD
301-600,0.0,0.0,SD
601-1000,0.001456981283600511,0.6202105424469069,SD
1001-1400,0.0008921907860200825,0.37978945755309323,SD
1401-1800,0.0,0.0,SD
>1800,0.0,0.0,SD
<50,0.0,0.0,TN
51-150,0.0037170542747248163,0.19781505966620647,TN
151-300,0.012159535712550964,0.6471090021061667,TN
301-600,0.002913962567201022,0.15507593822762694,TN
601-1000,0.0,0.0,TN
1001-1400,0.0,0.0,TN
1401-1800,0.0,0.0,TN
>1800,0.0,0.0,TN
<50,0.0,0.0,TX
51-150,0.0,0.0,TX
151-300,0.0,0.0,TX
301-600,0.00020828318349748467,0.0032222117900466865,TX
601-1000,0.05869273170829664,0.907996550296651,TX
1001-1400,0.005738803055885493,0.08878123791330231,TX
1401-1800,0.0,0.0,TX
>1800,0.0,0.0,TX
<50,0.0,0.0,UT
51-150,0.0,0.0,UT
151-300,0.0,0.0,UT
301-600,0.0,0.0,UT
601-1000,0.0,0.0,UT
1001-1400,0.0,0.0,UT
1401-1800,0.010941899639813584,1.0,UT
>1800,0.0,0.0,UT
<50,0.0,0.0,VA
51-150,0.0,0.0,VA
151-300,0.0011305369960030935,0.043754588425246065,VA
301-600,0.024707598767394517,0.956245411574754,VA
601-1000,0.0,0.0,VA
1001-1400,0.0,0.0,VA
1401-1800,0.0,0.0,VA
>1800,0.0,0.0,VA
<50,0.0,0.0,VT
51-150,0.0,0.0,VT
151-300,0.0,0.0,VT
301-600,0.0,0.0,VT
601-1000,0.0017253035199924012,1.0,VT
1001-1400,0.0,0.0,VT
1401-1800,0.0,0.0,VT
>1800,0.0,0.0,VT
<50,0.0,0.0,WA
51-150,0.0,0.0,WA
151-300,0.0,0.0,WA
301-600,0.0,0.0,WA
601-1000,0.0,0.0,WA
1001-1400,0.0,0.0,WA
1401-1800,0.0,0.0,WA
>1800,0.020842302362068382,1.0,WA
<50,0.0,0.0,WI
51-150,0.0,0.0,WI
151-300,0.0,0.0,WI
301-600,0.0,0.0,WI
601-1000,0.013258968681151409,1.0,WI
1001-1400,0.0,0.0,WI
1401-1800,0.0,0.0,WI
>1800,0.0,0.0,WI
<50,0.0,0.0,WV
51-150,0.0,0.0,WV
151-300,0.0,0.0,WV
301-600,0.005351213714419283,1.0,WV
601-1000,0.0,0.0,WV
1001-1400,0.0,0.0,WV
1401-1800,0.0,0.0,WV
>1800,0.0,0.0,WV
<50,0.0,0.0,WY
51-150,0.0,0.0,WY
151-300,0.0,0.0,WY
301-600,0.0,0.0,WY
601-1000,0.0,0.0,WY
1001-1400,0.0005647464975416644,0.5584632880098888,WY
1401-1800,0.0004465043933703706,0.4415367119901112,WY
>1800,0.0,0.0,WY
