zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,preferred_bucket,candidate_fc_zip3_set,candidate_fc_name_set,candidate_count,cluster_id
61,0.000773051,Primary,CT,41.5522,-73.0443,0.000773051681058531,303,816,GA-303,601-1000,303,GA-303,1,GA-303
62,0.000624849,Primary,CT,41.6929,-72.3122,0.000624849550492454,303,852,GA-303,601-1000,303,GA-303,1,GA-303
63,0.001337818,Primary,CT,41.6163,-72.0827,0.0013378191786186963,303,859,GA-303,601-1000,303,GA-303,1,GA-303
64,0.002319152,Primary,CT,41.3877,-72.4336,0.0023191540431747124,303,835,GA-303,601-1000,303,GA-303,1,GA-303
65,0.001011374,Primary,CT,40.75607573,-72.78328693,0.0010113748910212791,303,795,GA-303,601-1000,303,GA-303,1,GA-303
66,0.000951293,Primary,CT,41.1777,-73.1933,0.0009512938380898713,303,794,GA-303,601-1000,303,GA-303,1,GA-303
67,0.000862172,Primary,CT,41.5522,-73.0443,0.0008621727595742013,303,816,GA-303,601-1000,303,GA-303,1,GA-303
68,0.001813464,Primary,CT,41.0788,-73.4713,0.0018134655976631917,303,778,GA-303,601-1000,303,GA-303,1,GA-303
69,0.000356484,Primary,CT,41.1003,-73.549,0.0003564843140626807,303,776,GA-303,601-1000,303,GA-303,1,GA-303
70,0.008117031,Primary,NJ,40.6674,-74.1146,0.008117038151110612,303,734,GA-303,601-1000,303,GA-303,1,GA-303
71,0.001962667,Primary,NJ,40.7339,-74.1617,0.0019626687291111502,303,735,GA-303,601-1000,303,GA-303,1,GA-303
72,0.001337818,Primary,NJ,40.6965,-74.267,0.0013378191786186963,303,729,GA-303,601-1000,303,GA-303,1,GA-303
73,0.000921252,Primary,NJ,40.7148,-74.0371,0.0009212528116237271,303,740,GA-303,601-1000,303,GA-303,1,GA-303
74,0.001218656,Primary,NJ,41.0592,-74.1322,0.001218657073636882,303,750,GA-303,601-1000,303,GA-303,1,GA-303
75,0.000951293,Primary,NJ,40.9125,-74.1653,0.0009512938380898713,303,743,GA-303,601-1000,303,GA-303,1,GA-303
76,0.002021748,Primary,NJ,40.887,-74.0391,0.002021749781161557,303,747,GA-303,601-1000,303,GA-303,1,GA-303
77,0.002260071,Primary,NJ,40.3038,-73.9858,0.0022600729911243056,303,725,GA-303,601-1000,303,GA-303,1,GA-303
78,0.001100496,Primary,NJ,40.672,-74.7507,0.0011004969695378303,303,708,GA-303,601-1000,303,GA-303,1,GA-303
79,0.00071397,Primary,NJ,40.06206193,-74.22597178,0.0007139706290081242,303,705,GA-303,601-1000,303,GA-303,1,GA-303
80,0.004043495,Primary,NJ,39.36192889,-74.75292026,0.004043498562322234,303,655,GA-303,601-1000,303,GA-303,1,GA-303
81,0.00071397,Primary,NJ,39.93994576,-75.10335695,0.0007139706290081242,303,663,GA-303,601-1000,303,GA-303,1,GA-303
82,0.000653889,Primary,NJ,39.0817,-74.8214,0.0006538895760767165,303,642,GA-303,601-1000,303,GA-303,1,GA-303
83,0.00151606,Primary,NJ,39.47426061,-75.01237929,0.0015160613356500368,303,648,GA-303,601-1000,303,GA-303,1,GA-303
84,0.000416566,Primary,NJ,39.3365,-74.4828,0.00041656636699496935,303,667,GA-303,601-1000,303,GA-303,1,GA-303
85,0.000921252,Primary,NJ,39.89411341,-74.45477726,0.0009212528116237271,303,689,GA-303,601-1000,303,GA-303,1,GA-303
86,0.000981334,Primary,NJ,40.22932944,-74.72748806,0.0009813348645560157,303,690,GA-303,601-1000,303,GA-303,1,GA-303
87,0.001605181,Primary,NJ,40.03073867,-74.191903,0.001605182414165707,303,706,GA-303,601-1000,303,GA-303,1,GA-303
88,0.003626929,Primary,NJ,40.53162924,-74.5131388,0.0036269321953272646,303,712,GA-303,601-1000,303,GA-303,1,GA-303
89,0.000267363,Primary,NJ,40.48942037,-74.44261806,0.00026736323554701056,303,713,GA-303,601-1000,303,GA-303,1,GA-303
100,0.00663001,Primary,NY,40.74525552,-73.98520233,0.006630015841043957,303,743,GA-303,601-1000,303,GA-303,1,GA-303
101,0.000297404,Primary,NY,40.74727355,-73.9830577,0.00029740426201315485,303,743,GA-303,601-1000,303,GA-303,1,GA-303
103,0.003359566,Primary,NY,40.60260336,-74.1228694,0.003359568959780254,303,731,GA-303,601-1000,303,GA-303,1,GA-303
104,0.006214445,Primary,NY,40.84227184,-73.88505434,0.006214450474930869,303,751,GA-303,601-1000,303,GA-303,1,GA-303
105,0.002051788,Primary,NY,41.11518994,-73.78099939,0.002051789807626821,303,767,GA-303,601-1000,303,GA-303,1,GA-303
107,0.000445606,Primary,NY,40.94393272,-73.86919228,0.00044560639257923185,303,756,GA-303,601-1000,303,GA-303,1,GA-303
108,0.000505687,Primary,NY,40.93233725,-73.78483333,0.0005056874455106396,303,759,GA-303,601-1000,303,GA-303,1,GA-303
109,0.002110869,Primary,NY,41.211135,-74.11537659,0.0021108708596772273,303,757,GA-303,601-1000,303,GA-303,1,GA-303
110,0.000445606,Primary,NY,40.74237028,-73.67615728,0.00044560639257923185,303,756,GA-303,601-1000,303,GA-303,1,GA-303
111,0.00151606,Primary,NY,40.7491698,-73.94105235,0.0015160613356500368,303,745,GA-303,601-1000,303,GA-303,1,GA-303
112,0.008890082,Primary,NY,40.66649174,-73.95393848,0.008890089832169143,303,741,GA-303,601-1000,303,GA-303,1,GA-303
113,0.002764757,Primary,NY,40.74291633,-73.86860143,0.0027647594357530633,303,748,GA-303,601-1000,303,GA-303,1,GA-303
114,0.002497394,Primary,NY,40.69842097,-73.81199682,0.0024973962002060525,303,749,GA-303,601-1000,303,GA-303,1,GA-303
