bucket,demand_share
<50,0.035203851014592745
51-150,0.04632589181311069
151-300,0.26815750624676304
301-600,0.5105710058130561
601-1000,0.13974174511247744
1001-1400,0.0
1401-1800,0.0
>1800,0.0
