ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
815,1391,1744,517,212,432,643,738,195,1879,1114,1964,1331,1652,1822,779,985,903
816,1326,1663,545,260,502,726,812,117,1827,1034,1883,1251,1579,1742,740,954,929
820,1232,1513,657,370,662,886,947,102,1763,890,1734,1105,1461,1600,722,949,963
821,1588,1755,916,274,773,834,753,446,2136,1173,1978,1373,1787,1868,1097,1321,590
822,1239,1478,732,398,731,939,978,176,1784,864,1700,1075,1453,1572,768,998,942
823,1355,1622,681,254,622,802,834,173,1883,1005,1844,1218,1584,1714,826,1049,847
824,1483,1651,881,308,780,887,839,372,2036,1065,1873,1266,1679,1761,1013,1240,693
825,1452,1672,781,230,682,809,793,290,1990,1069,1895,1277,1666,1774,942,1166,736
826,1342,1562,766,322,717,888,898,227,1887,956,1784,1164,1553,1661,859,1087,839
827,1317,1481,862,426,831,999,991,309,1880,890,1703,1092,1505,1588,895,1126,860
828,1414,1568,892,374,822,954,920,355,1974,985,1790,1184,1602,1679,974,1204,763
829,1496,1761,711,120,578,696,696,292,2015,1148,1984,1359,1729,1856,939,1155,728
830,1567,1772,844,201,698,769,711,396,2105,1176,1994,1381,1779,1878,1049,1270,622
831,1548,1787,775,133,626,711,678,354,2074,1182,2010,1390,1773,1888,1004,1222,662
832,1639,1864,835,151,652,687,615,444,2165,1265,2087,1471,1861,1968,1092,1307,576
833,1728,1955,872,187,657,641,535,525,2248,1357,2178,1563,1952,2060,1166,1377,510
834,1635,1834,878,205,708,746,661,456,2170,1242,2056,1446,1847,1942,1109,1328,559
835,1893,2018,1136,447,917,848,647,737,2441,1460,2238,1651,2083,2141,1390,1609,284
836,1846,2045,987,309,749,676,503,649,2372,1458,2267,1660,2063,2156,1292,1502,387
837,1837,2039,976,298,739,669,502,639,2362,1451,2262,1654,2055,2150,1281,1491,398
838,1926,2012,1219,531,1009,940,728,797,2485,1472,2231,1657,2102,2141,1450,1673,259
840,1576,1871,681,9,498,581,586,363,2077,1253,2093,1466,1821,1962,982,1188,704
841,1584,1876,689,0,503,580,580,371,2085,1259,2098,1472,1828,1968,990,1196,696
843,1598,1863,747,63,566,628,597,389,2112,1252,2085,1463,1833,1960,1025,1236,649
844,1592,1871,717,30,533,601,586,380,2099,1257,2093,1469,1832,1965,1008,1216,672
845,1489,1845,534,155,380,549,637,297,1967,1215,2065,1432,1753,1923,860,1057,848
846,1568,1882,644,48,457,551,577,358,2062,1260,2104,1475,1820,1970,961,1163,736
847,1626,2007,549,224,293,385,496,457,2081,1376,2226,1593,1901,2083,966,1146,832
850,1593,2084,348,499,9,361,637,581,1978,1450,2296,1666,1901,2136,880,1013,1106
851,1582,2090,319,543,41,387,675,604,1955,1457,2301,1673,1895,2138,864,988,1153
852,1585,2079,339,503,0,369,646,580,1970,1445,2291,1662,1894,2131,872,1004,1113
853,1618,2106,372,501,34,336,615,599,2003,1472,2319,1689,1926,2160,905,1038,1096
855,1504,2008,262,511,82,451,718,532,1888,1375,2219,1591,1815,2056,790,923,1152
856,1526,2068,239,624,143,479,779,631,1875,1440,2275,1653,1847,2107,801,907,1254
857,1545,2073,268,586,98,441,736,614,1906,1442,2282,1657,1863,2116,823,938,1210
859,1468,1956,265,463,123,476,721,471,1867,1323,2168,1539,1774,2008,761,907,1120
860,1541,1989,382,367,140,403,614,460,1962,1354,2204,1572,1836,2050,850,1010,1006
863,1592,2056,386,425,80,350,594,533,1997,1421,2271,1639,1893,2114,890,1037,1035
864,1705,2147,503,418,170,239,478,606,2116,1512,2364,1730,2000,2211,1007,1157,962
865,1431,1880,328,365,214,515,711,366,1861,1245,2095,1463,1725,1939,747,916,1043
870,1282,1767,230,479,315,660,871,335,1702,1134,1978,1350,1583,1816,588,758,1173
871,1274,1760,229,484,322,668,878,333,1694,1127,1971,1343,1575,1809,580,751,1178
873,1383,1846,284,405,236,560,765,354,1808,1211,2059,1428,1680,1901,694,863,1090
874,1362,1791,355,342,306,596,765,274,1811,1156,2007,1374,1648,1853,697,882,1036
