ZIP3,Market,State
365,Secondary,AL
366,Tertiary,AL
367,Secondary,AL
368,Secondary,AL
369,Secondary,AL
370,Primary,TN
371,Primary,TN
372,Primary,TN
373,Secondary,TN
374,Primary,TN
376,Secondary,TN
377,Secondary,TN
378,Secondary,TN
379,Secondary,TN
380,Secondary,TN
381,Secondary,TN
382,Secondary,TN
383,Secondary,TN
384,Primary,TN
385,Primary,TN
386,Secondary,MS
387,Secondary,MS
388,Secondary,MS
389,Secondary,MS
390,Tertiary,MS
391,Tertiary,MS
392,Tertiary,MS
393,Secondary,MS
394,Tertiary,MS
395,Tertiary,MS
396,Tertiary,MS
397,Secondary,MS
398,Secondary,GA
400,Primary,KY
401,Secondary,KY
402,Primary,KY
403,Primary,KY
404,Secondary,KY
405,Primary,KY
406,Primary,KY
407,Secondary,KY
408,Secondary,KY
409,Secondary,KY
410,Primary,KY
411,Primary,KY
412,Secondary,KY
413,Secondary,KY
414,Secondary,KY
415,Secondary,KY
416,Secondary,KY
417,Secondary,KY
418,Secondary,KY
420,Secondary,KY
421,Primary,KY
422,Primary,KY
423,Primary,KY
424,Secondary,KY
425,Secondary,KY
426,Secondary,KY
427,Secondary,KY
430,Secondary,OH
431,Primary,OH
432,Primary,OH
433,Secondary,OH
434,Primary,OH
435,Primary,OH
436,Primary,OH
437,Secondary,OH
438,Secondary,OH
439,Secondary,OH
440,Secondary,OH
441,Primary,OH
442,Secondary,OH
443,Secondary,OH
444,Secondary,OH
445,Secondary,OH
446,Secondary,OH
447,Secondary,OH
448,Primary,OH
449,Secondary,OH
450,Primary,OH
451,Primary,OH
452,Primary,OH
453,Primary,OH
454,Primary,OH
455,Primary,OH
456,Primary,OH
457,Secondary,OH
458,Secondary,OH
460,Primary,IN
461,Primary,IN
462,Primary,IN
463,Primary,IN
464,Primary,IN
465,Primary,IN
466,Primary,IN
467,Secondary,IN
468,Secondary,IN
469,Primary,IN
470,Primary,IN
471,Primary,IN
472,Primary,IN
473,Primary,IN
474,Primary,IN
475,Secondary,IN
476,Secondary,IN
477,Secondary,IN
478,Primary,IN
479,Primary,IN
480,Primary,MI
481,Primary,MI
482,Primary,MI
483,Primary,MI
484,Primary,MI
485,Primary,MI
486,Secondary,MI
487,Secondary,MI
488,Primary,MI
489,Primary,MI
490,Secondary,MI
491,Primary,MI
492,Primary,MI
493,Secondary,MI
494,Secondary,MI
495,Secondary,MI
496,Secondary,MI
497,Secondary,MI
498,Secondary,MI
499,Secondary,MI
500,Secondary,IA
501,Secondary,IA
502,Secondary,IA
503,Secondary,IA
504,Secondary,IA
505,Secondary,IA
506,Secondary,IA
507,Secondary,IA
508,Secondary,IA
510,Secondary,IA
511,Secondary,IA
512,Secondary,IA
513,Secondary,IA
514,Secondary,IA
515,Secondary,IA
516,Tertiary,IA
520,Secondary,IA
521,Secondary,IA
522,Secondary,IA
523,Secondary,IA
524,Secondary,IA
525,Secondary,IA
526,Secondary,IA
527,Secondary,IA
528,Secondary,IA
530,Secondary,WI
531,Primary,WI
532,Primary,WI
534,Primary,WI
535,Secondary,WI
537,Secondary,WI
538,Secondary,WI
539,Secondary,WI
540,Primary,WI
541,Secondary,WI
542,Secondary,WI
543,Secondary,WI
544,Secondary,WI
545,Secondary,WI
546,Secondary,WI
547,Primary,WI
548,Secondary,WI
549,Secondary,WI
550,Primary,MN
551,Primary,MN
553,Primary,MN
554,Primary,MN
556,Secondary,MN
557,Secondary,MN
558,Secondary,MN
559,Primary,MN
560,Primary,MN
561,Secondary,MN
562,Secondary,MN
563,Primary,MN
564,Secondary,MN
565,Secondary,MN
566,Secondary,MN
567,Secondary,MN
570,Secondary,SD
571,Secondary,SD
572,Secondary,SD
573,Secondary,SD
574,Secondary,SD
575,Tertiary,SD
576,Tertiary,SD
577,Tertiary,SD
580,Secondary,ND
581,Secondary,ND
582,Secondary,ND
583,Tertiary,ND
584,Secondary,ND
585,Tertiary,ND
586,Tertiary,ND
587,Tertiary,ND
588,Tertiary,ND
590,Tertiary,MT
591,Tertiary,MT
592,Tertiary,MT
593,Tertiary,MT
594,Tertiary,MT
595,Tertiary,MT
596,Secondary,MT
597,Secondary,MT
598,Secondary,MT
599,Tertiary,MT
600,Primary,IL
601,Primary,IL
602,Primary,IL
603,Primary,IL
604,Primary,IL
605,Primary,IL
606,Primary,IL
607,Primary,IL
608,Primary,IL
609,Primary,IL
610,Primary,IL
611,Primary,IL
612,Secondary,IL
613,Primary,IL
614,Secondary,IL
615,Secondary,IL
616,Secondary,IL
617,Secondary,IL
618,Secondary,IL
619,Secondary,IL
620,Primary,IL
622,Primary,IL
623,Secondary,IL
624,Secondary,IL
625,Secondary,IL
626,Primary,IL
627,Primary,IL
628,Primary,IL
