ZIP3,PMF
10,0.002021748
11,0.001159576
12,0.000564768
13,0.000148201
14,0.00074301
15,0.00145698
16,0.000803091
17,0.001189617
18,0.002794798
19,0.002260071
20,0.001605181
21,0.005648677
22,0.000297404
23,0.001991707
24,0.000653889
25,0.000475646
26,0.000624849
27,0.00217095
28,0.002764757
29,0.001665263
30,0.00145698
31,0.000386525
32,0.00074301
33,0.000267363
34,0.000178242
35,0.000119162
37,0.000297404
38,0.001635222
39,0.000148201
40,0.001159576
41,0.000803091
42,0.000297404
43,0.000208283
44,0.000386525
46,0.000148201
47,0.000148201
48,0.000208283
49,0.000267363
50,0.000119162
51,0.000119162
52,8.91E-05
53,8.91E-05
54,0.000624849
56,0.000327445
57,0.000356484
60,0.002349193
61,0.000773051
62,0.000624849
63,0.001337818
64,0.002319152
65,0.001011374
66,0.000951293
67,0.000862172
68,0.001813464
69,0.000356484
70,0.008117031
71,0.001962667
72,0.001337818
73,0.000921252
74,0.001218656
75,0.000951293
76,0.002021748
77,0.002260071
78,0.001100496
79,0.00071397
80,0.004043495
81,0.00071397
82,0.000653889
83,0.00151606
84,0.000416566
85,0.000921252
86,0.000981334
87,0.001605181
88,0.003626929
89,0.000267363
100,0.00663001
101,0.000297404
103,0.003359566
104,0.006214445
105,0.002051788
107,0.000445606
108,0.000505687
109,0.002110869
110,0.000445606
111,0.00151606
112,0.008890082
113,0.002764757
114,0.002497394
115,0.002646597
116,0.000327445
117,0.00517303
118,0.000267363
119,0.001129535
120,0.001367859
121,0.001070455
122,0.00071397
123,0.00074301
124,0.001159576
125,0.002408273
126,5.91E-05
127,0.000297404
128,0.000445606
129,0.000624849
130,0.000803091
131,0.000238324
132,0.0013979
133,0.000297404
134,0.000921252
135,8.91E-05
136,0.001367859
137,0.000416566
138,0.00071397
139,0.000327445
140,0.001129535
141,0.001189617
142,0.002853878
143,0.000267363
144,0.001100496
145,0.000921252
146,0.002616556
147,0.000803091
148,0.000803091
149,0.000178242
150,0.001040414
151,0.001576142
152,0.002260071
153,0.000564768
154,0.000119162
155,0.000267363
156,0.00071397
157,0.000119162
158,0.000148201
159,8.91E-05
160,0.000862172
161,0.000416566
162,0.000178242
163,8.91E-05
164,0.000238324
165,0.000416566
166,0.000594808
168,0.000119162
169,3.00E-05
170,0.002378232
171,0.000653889
172,0.000624849
173,0.001159576
174,0.000445606
175,0.00074301
176,0.000832131
177,0.000803091
178,0.000624849
179,0.000327445
180,0.002527435
181,0.00071397
182,0.001011374
183,0.001100496
184,0.001278738
185,0.000416566
186,0.000327445
187,0.000773051
188,0.000208283
