zip3,pmf,market,state,units_2026,units_2026_conservative,units_2026_optimistic
010,0.002021749781161557,Primary,MA,187.7801196742854,181.66634833605283,195.64068282344152
011,0.0011595770215873562,Primary,MA,107.70151376503362,104.19495285175346,112.20994922496527
012,0.0005647684975610464,Secondary,MA,52.45569805346998,50.74783811684538,54.65151797198733
013,0.00014820113056519604,Primary,MA,13.764921006895406,13.316760788066253,14.341127002532888
014,0.0007430106545923867,Primary,MA,69.01082959854087,66.76396537905349,71.89965502359607
015,0.0014569812836005111,Primary,MA,135.32442162081546,130.91851021920752,140.98916485145423
016,0.0008030917075237944,Primary,MA,74.59115779481,72.16260847125805,77.71357835366253
017,0.0011896180480535003,Primary,MA,110.4917243032091,106.89431932589531,115.11695927404111
018,0.0027948004622192074,Primary,MA,259.5810669309199,251.12959033316906,270.4472511280282
019,0.0022600729911243056,Primary,MA,209.91557941562547,203.08111869046556,218.70274320511678
020,0.001605182414165707,Primary,MA,149.08934262771086,144.23527100727375,155.33029185398712
021,0.005648681976488822,Primary,MA,524.6495819762818,507.56796767937954,546.6116575008703
022,0.00029740426201315485,Primary,MA,27.62290785578182,26.72355736745404,28.779215626488963
023,0.001991708754695413,Primary,MA,184.98990913610993,178.966981861911,192.7336727743657
024,0.0006538895760767165,Primary,MA,60.73326382600543,58.75590174794943,63.2755864977917
025,0.0004756464190444952,Primary,MA,44.17803940085271,42.73968462966216,46.02735267809771
026,0.000624849550492454,Primary,MA,58.03602624973912,56.146481209049945,60.46544130205378
027,0.0021709519126086353,Primary,MA,201.63801364309,195.0730550593615,210.0786746793124
028,0.0027647594357530633,Primary,RI,256.7908563927445,248.43022385902722,267.54024107895236
029,0.0016652644670979955,Primary,RI,154.6697637040618,149.63400395555746,161.14431195213882
030,0.0014569812836005111,Primary,NH,135.32442162081546,130.91851021920752,140.98916485145423
031,0.000386525340528825,Primary,NH,35.90047362831726,34.73162099855809,37.40328415229333
032,0.0007430106545923867,Primary,NH,69.01082959854087,66.76396537905349,71.89965502359607
033,0.00026736323554701056,Primary,NH,24.832697317606335,24.024190893312177,25.872205577413116
034,0.00017824215703134036,Primary,NH,16.55513154507089,16.016127262208116,17.24813705160874
035,0.0001191621049818145,Secondary,NH,11.06777631071093,10.70743010524592,11.531078574880224
037,0.00029740426201315485,Secondary,NH,27.62290785578182,26.72355736745404,28.779215626488963
038,0.0016352234406318512,Primary,NH,151.8795531658863,146.9346374814156,158.23730190306296
039,0.00014820113056519604,Primary,ME,13.764921006895406,13.316760788066253,14.341127002532888
040,0.0011595770215873562,Primary,ME,107.70151376503362,104.19495285175346,112.20994922496527
041,0.0008030917075237944,Primary,ME,74.59115779481,72.16260847125805,77.71357835366253
042,0.00029740426201315485,Secondary,ME,27.62290785578182,26.72355736745404,28.779215626488963
043,0.00020828318349748467,Secondary,ME,19.345342083246372,18.71549373634998,20.155147100684594
044,0.000386525340528825,Secondary,ME,35.90047362831726,34.73162099855809,37.40328415229333
046,0.00014820113056519604,Secondary,ME,13.764921006895406,13.316760788066253,14.341127002532888
047,0.00014820113056519604,Tertiary,ME,13.764921006895406,13.316760788066253,14.341127002532888
048,0.00020828318349748467,Secondary,ME,19.345342083246372,18.71549373634998,20.155147100684594
049,0.00026736323554701056,Secondary,ME,24.832697317606335,24.024190893312177,25.872205577413116
050,0.0001191621049818145,Secondary,VT,11.06777631071093,10.70743010524592,11.531078574880224
051,0.0001191621049818145,Primary,VT,11.06777631071093,10.70743010524592,11.531078574880224
052,8.910007849716916e-05,Secondary,VT,8.27561529081707,8.00617665344163,8.622036396014064
053,8.910007849716916e-05,Primary,VT,8.27561529081707,8.00617665344163,8.622036396014064
054,0.000624849550492454,Secondary,VT,58.03602624973912,56.146481209049945,60.46544130205378
056,0.00032744528847929914,Secondary,VT,30.4131183939573,29.4229238415959,31.686225675564813
057,0.0003564843140626807,Secondary,VT,33.11026309014178,32.03225452441623,34.49627410321748
060,0.0023491950696408566,Primary,CT,218.19323806824272,211.08927217764878,227.32690849900638
061,0.000773051681058531,Primary,CT,71.80104013671635,69.46333185319536,74.80666507267192
062,0.000624849550492454,Primary,CT,58.03602624973912,56.146481209049945,60.46544130205378
063,0.0013378191786186963,Primary,CT,124.25664531010449,120.21108011396156,129.458086276574
064,0.0023191540431747124,Primary,CT,215.40302753006725,208.3899057035069,224.41989844993054
065,0.0010113748910212791,Primary,CT,93.9364998780564,90.87810220760804,97.86872545434713
066,0.0009512938380898713,Primary,CT,88.35617168178723,85.47945911540347,92.05480212428066
067,0.0008621727595742013,Primary,CT,80.0786059092518,77.47139548429942,83.4307335984763
