zip3,market_type,fc,pmf_alloc,distance_bucket
150,Secondary,GA-303,0.00093637342494495,301-600
151,Secondary,GA-303,0.0014185290497240699,301-600
152,Secondary,GA-303,0.00203406569201187,301-600
153,Secondary,GA-303,0.0005082916478049,301-600
154,Secondary,GA-303,0.00010724589448361999,301-600
155,Secondary,GA-303,0.0002406269119923,301-600
156,Secondary,GA-303,0.0006425735661072901,301-600
157,Secondary,GA-303,0.00010724589448361999,301-600
158,Secondary,GA-303,0.00013338101750859,301-600
159,Secondary,GA-303,8.019007064745225e-05,301-600
160,Secondary,GA-303,0.00077595548361678,301-600
161,Secondary,GA-303,0.00037490973029541,301-600
162,Secondary,GA-303,0.00016041794132817,301-600
163,Secondary,GA-303,8.019007064745225e-05,301-600
164,Secondary,GA-303,0.00021449178896723999,601-1000
165,Secondary,GA-303,0.00037490973029541,601-1000
166,Secondary,GA-303,0.0005353276716236699,301-600
168,Secondary,GA-303,0.00010724589448361999,301-600
169,Secondary,GA-303,2.700002378702096e-05,601-1000
170,Primary,GA-303,0.0021404106857017802,601-1000
171,Primary,GA-303,0.0005885006184690299,601-1000
172,Primary,GA-303,0.0005623645954431599,301-600
173,Primary,GA-303,0.0010436193194285702,301-600
174,Primary,GA-303,0.00040104575332128,301-600
175,Primary,GA-303,0.00066870958913307,601-1000
176,Primary,GA-303,0.0007489185597972,601-1000
177,Secondary,GA-303,0.00072278253677133,601-1000
178,Secondary,GA-303,0.0005623645954431599,601-1000
179,Primary,GA-303,0.00029470075963128,601-1000
180,Primary,GA-303,0.00227469350400489,601-1000
181,Primary,GA-303,0.0006425735661072901,601-1000
182,Primary,GA-303,0.00091023740191908,601-1000
183,Primary,GA-303,0.00099044727258402,601-1000
184,Primary,GA-303,0.0011508652139121899,601-1000
185,Primary,GA-303,0.00037490973029541,601-1000
186,Secondary,GA-303,0.00029470075963128,601-1000
187,Primary,GA-303,0.0006957465129526501,601-1000
188,Secondary,GA-303,0.00018745486514766,601-1000
189,Primary,GA-303,0.00101658239560908,601-1000
190,Primary,GA-303,0.0033985217940976802,601-1000
191,Primary,GA-303,0.00513788672647818,601-1000
193,Primary,GA-303,0.0010436193194285702,601-1000
194,Primary,GA-303,0.00099044727258402,601-1000
195,Primary,GA-303,0.0008832013781004001,601-1000
196,Primary,GA-303,0.0008291275304613301,601-1000
197,Primary,GA-303,0.00144466417274913,601-1000
198,Primary,GA-303,0.0008291275304613301,601-1000
199,Primary,GA-303,0.0014185290497240699,601-1000
200,Primary,GA-303,0.00251532041599728,301-600
201,Primary,GA-303,0.00326423897579448,301-600
206,Primary,GA-303,0.00109679136627312,301-600
207,Primary,GA-303,0.00291636616931856,301-600
208,Primary,GA-303,0.00165915596171637,301-600
209,Primary,GA-303,0.00042808177713996005,301-600
210,Primary,GA-303,0.0020602017150376504,301-600
211,Primary,GA-303,0.00179253787922586,301-600
212,Primary,GA-303,0.0035319028116063606,301-600
214,Primary,GA-303,0.00029470075963128,301-600
215,Secondary,GA-303,0.00037490973029541,301-600
216,Primary,GA-303,0.0005082916478049,301-600
217,Primary,GA-303,0.00160598391487182,301-600
218,Primary,GA-303,0.00034787280647592,301-600
219,Primary,GA-303,0.00045511870095954,601-1000
220,Primary,GA-303,0.00066870958913307,301-600
221,Primary,GA-303,0.00128424623142087,301-600
222,Primary,GA-303,0.00048125472398541,301-600
223,Primary,GA-303,0.0008561644542808201,301-600
224,Primary,GA-303,0.00072278253677133,301-600
225,Primary,GA-303,0.00042808177713996005,301-600
226,Primary,GA-303,0.0005353276716236699,301-600
227,Primary,GA-303,0.00021449178896723999,301-600
228,Secondary,GA-303,0.00029470075963128,301-600
229,Secondary,GA-303,0.0006957465129526501,301-600
230,Secondary,GA-303,0.00120403726075674,301-600
231,Secondary,GA-303,0.0006425735661072901,301-600
232,Secondary,GA-303,0.00152487404341398,301-600
233,Secondary,GA-303,0.0005082916478049,301-600
234,Secondary,GA-303,0.0020602017150376504,301-600
235,Secondary,GA-303,0.0005623645954431599,301-600
