market_type,distance_bucket,demand_share
Primary,151-300,0.1420684253239449
Primary,301-600,0.028121070711924302
Primary,51-150,0.1480298440142868
Primary,601-1000,0.0012711160209246035
Primary,<50,0.34618506648903796
Secondary,1001-1400,5.840666963808727e-05
Secondary,151-300,0.12326942365535264
Secondary,301-600,0.0516560230118089
Secondary,51-150,0.09440902667434785
Secondary,601-1000,0.003538505541384074
Tertiary,1001-1400,4.86060578219265e-05
Tertiary,301-600,0.010711809034245425
Tertiary,601-1000,0.0015500347534375262
