market_type,distance_bucket,demand_share
Primary,1001-1400,0.0054394971921969066
Primary,151-300,0.1730226846329803
Primary,301-600,0.36311128750103605
Primary,51-150,0.017260269206296065
Primary,601-1000,0.09689065516066488
Primary,<50,0.02831109904207791
Secondary,1001-1400,0.0022490811481069507
Secondary,151-300,0.06831907098909759
Secondary,301-600,0.1125837271862557
Secondary,51-150,0.024433033425500714
Secondary,601-1000,0.05573003763149191
Secondary,<50,0.003372366871054952
Tertiary,1001-1400,0.0002280337008976531
Tertiary,301-600,0.008134349366360944
Tertiary,601-1000,0.0036477666136818772
