zip3,market_type,fc,pmf_alloc,distance_bucket
10,Primary,NY-134,0.0018195748030453499,151-300
11,Primary,NY-134,0.0010436193194285702,151-300
12,Secondary,NY-134,0.0005082916478049,51-150
13,Primary,NY-134,0.00013338101750859,51-150
14,Primary,NY-134,0.00066870958913307,151-300
15,Primary,NY-134,0.0013112831552404502,151-300
16,Primary,NY-134,0.00072278253677133,151-300
17,Primary,NY-134,0.00107065624324815,151-300
18,Primary,NY-134,0.00251532041599728,151-300
19,Primary,NY-134,0.00203406569201187,151-300
20,Primary,NY-134,0.00144466417274913,151-300
21,Primary,NY-134,0.005083813778839921,151-300
22,Primary,NY-134,0.00026766383581179,151-300
23,Primary,NY-134,0.00179253787922586,151-300
24,Primary,NY-134,0.0005885006184690299,151-300
25,Primary,NY-134,0.00042808177713996005,151-300
26,Primary,NY-134,0.0005623645954431599,151-300
27,Primary,NY-134,0.00195385672134774,151-300
28,Primary,NY-134,0.0024882834921777,151-300
29,Primary,NY-134,0.00149873802038811,151-300
30,Primary,NY-134,0.0013112831552404502,151-300
31,Primary,NY-134,0.00034787280647592,151-300
32,Primary,NY-134,0.00066870958913307,151-300
33,Primary,NY-134,0.0002406269119923,151-300
34,Primary,NY-134,0.00016041794132817,151-300
35,Secondary,NY-134,0.00010724589448361999,151-300
37,Secondary,NY-134,0.00026766383581179,151-300
38,Primary,NY-134,0.00147170109656862,151-300
39,Primary,NY-134,0.00013338101750859,151-300
40,Primary,NY-134,0.0010436193194285702,151-300
41,Primary,NY-134,0.00072278253677133,151-300
42,Secondary,NY-134,0.00026766383581179,151-300
43,Secondary,NY-134,0.00018745486514766,151-300
44,Secondary,NY-134,0.00034787280647592,301-600
46,Secondary,NY-134,0.00013338101750859,301-600
47,Tertiary,NY-134,0.00013338101750859,301-600
48,Secondary,NY-134,0.00018745486514766,301-600
49,Secondary,NY-134,0.0002406269119923,301-600
50,Secondary,NY-134,0.00010724589448361999,151-300
51,Primary,NY-134,0.00010724589448361999,51-150
52,Secondary,NY-134,8.019007064745225e-05,51-150
53,Primary,NY-134,8.019007064745225e-05,51-150
54,Secondary,NY-134,0.0005623645954431599,51-150
56,Secondary,NY-134,0.00029470075963128,151-300
57,Secondary,NY-134,0.00032083588265634,51-150
60,Primary,NY-134,0.0021142755626767204,51-150
61,Primary,NY-134,0.0006957465129526501,151-300
62,Primary,NY-134,0.0005623645954431599,151-300
63,Primary,NY-134,0.00120403726075674,151-300
64,Primary,NY-134,0.00208723863885723,151-300
65,Primary,NY-134,0.00091023740191908,151-300
66,Primary,NY-134,0.0008561644542808201,151-300
67,Primary,NY-134,0.00077595548361678,151-300
68,Primary,NY-134,0.00163211903789679,151-300
69,Primary,NY-134,0.00032083588265634,151-300
70,Primary,NY-134,0.00730533433599954,151-300
71,Primary,NY-134,0.00176640185619999,151-300
72,Primary,NY-134,0.00120403726075674,151-300
73,Primary,NY-134,0.0008291275304613301,151-300
74,Primary,NY-134,0.00109679136627312,151-300
75,Primary,NY-134,0.0008561644542808201,151-300
76,Primary,NY-134,0.0018195748030453499,151-300
77,Primary,NY-134,0.00203406569201187,151-300
78,Primary,NY-134,0.00099044727258402,151-300
79,Primary,NY-134,0.0006425735661072901,151-300
80,Primary,NY-134,0.00363914870608998,151-300
81,Primary,NY-134,0.0006425735661072901,151-300
82,Primary,NY-134,0.0005885006184690299,151-300
83,Primary,NY-134,0.001364455202085,151-300
84,Primary,NY-134,0.00037490973029541,151-300
85,Primary,NY-134,0.0008291275304613301,151-300
86,Primary,NY-134,0.0008832013781004001,151-300
87,Primary,NY-134,0.00144466417274913,151-300
88,Primary,NY-134,0.00326423897579448,151-300
89,Primary,NY-134,0.0002406269119923,151-300
100,Primary,NY-134,0.00596701425693951,151-300
101,Primary,NY-134,0.00026766383581179,151-300
103,Primary,NY-134,0.0030236120638021803,151-300
104,Primary,NY-134,0.0055930054274377205,151-300
105,Primary,NY-134,0.0018466108268641202,151-300
