zip3,market_type,pmf_norm,preferred_fc,preferred_fc_zip3,preferred_fc_distance,preferred_bucket,fc_set,fc_count,cluster_id,lat,lon
10,Primary,0.0020217497811615,MA-021,21,77,51-150,"['MA-021', 'NJ-070']",2,88,42.22159842,-72.57355816
11,Primary,0.0011595770215873,MA-021,21,79,51-150,"['MA-021', 'NJ-070']",2,88,42.10577295,-72.58373891
12,Secondary,0.000564768497561,MA-021,21,111,51-150,"['MA-021', 'NJ-070']",2,88,42.39659452,-73.23757603
13,Primary,0.0001482011305651,MA-021,21,76,51-150,"['MA-021', 'NJ-070']",2,88,42.57895574,-72.54004426
14,Primary,0.0007430106545923,MA-021,21,35,<50,['MA-021'],1,85,42.56623253,-71.6967241
15,Primary,0.0014569812836005,MA-021,21,36,<50,['MA-021'],1,85,42.24197516,-71.76761484
16,Primary,0.0008030917075237,MA-021,21,37,<50,['MA-021'],1,85,42.26459123,-71.79338084
17,Primary,0.0011896180480535,MA-021,21,17,<50,['MA-021'],1,85,42.33511609,-71.41725034
18,Primary,0.0027948004622192,MA-021,21,19,<50,['MA-021'],1,85,42.60905578,-71.20474104
19,Primary,0.0022600729911243,MA-021,21,16,<50,['MA-021'],1,85,42.55964044,-70.9448446
20,Primary,0.0016051824141657,MA-021,21,12,<50,['MA-021'],1,85,42.18647637,-71.14535043
21,Primary,0.0056486819764888,MA-021,21,0,<50,['MA-021'],1,85,42.35170427,-71.07717596
22,Primary,0.0002974042620131,MA-021,21,0,<50,['MA-021'],1,85,42.35386118,-71.06993122
23,Primary,0.0019917087546954,MA-021,21,20,<50,['MA-021'],1,85,42.07787459,-70.96676733
24,Primary,0.0006538895760767,MA-021,21,5,<50,['MA-021'],1,85,42.35635691,-71.1822087
25,Primary,0.0004756464190444,MA-021,21,57,51-150,"['MA-021', 'NJ-070']",2,88,41.61678456,-70.56772206
26,Primary,0.0006248495504924,MA-021,21,62,51-150,"['MA-021', 'NJ-070']",2,88,41.71246484,-70.23067692
27,Primary,0.0021709519126086,MA-021,21,40,<50,['MA-021'],1,85,41.77048621,-71.09835991
28,Primary,0.002764759435753,MA-021,21,49,<50,['MA-021'],1,85,41.70319953,-71.46661189
29,Primary,0.0016652644670979,MA-021,21,42,<50,['MA-021'],1,85,41.8087759,-71.42421299
30,Primary,0.0014569812836005,MA-021,21,39,<50,['MA-021'],1,85,42.84900883,-71.43806364
31,Primary,0.0003865253405288,MA-021,21,49,<50,['MA-021'],1,85,42.99436347,-71.4652
32,Primary,0.0007430106545923,MA-021,21,83,51-150,"['MA-021', 'NJ-070']",2,88,43.48417588,-71.60856181
33,Primary,0.000267363235547,MA-021,21,65,51-150,"['MA-021', 'NJ-070']",2,88,43.2209,-71.55933
34,Primary,0.0001782421570313,MA-021,21,70,51-150,"['MA-021', 'NJ-070']",2,88,42.93445679,-72.20745802
35,Secondary,0.0001191621049818,MA-021,21,153,151-300,"['MA-021', 'NJ-070']",2,88,44.5527,-71.45347544
37,Secondary,0.0002974042620131,MA-021,21,107,51-150,"['MA-021', 'NJ-070']",2,88,43.68600566,-72.16861698
38,Primary,0.0016352234406318,MA-021,21,62,51-150,"['MA-021', 'NJ-070']",2,88,43.24875168,-71.02708603
39,Primary,0.0001482011305651,MA-021,21,61,51-150,"['MA-021', 'NJ-070']",2,88,43.18603846,-70.71189487
40,Primary,0.0011595770215873,MA-021,21,98,51-150,"['MA-021', 'NJ-070']",2,88,43.70327886,-70.459
41,Primary,0.0008030917075237,MA-021,21,99,51-150,"['MA-021', 'NJ-070']",2,88,43.65348226,-70.26322312
42,Secondary,0.0002974042620131,MA-021,21,137,51-150,['MA-021'],1,85,44.27333841,-70.36711325
43,Secondary,0.0002082831834974,MA-021,21,148,51-150,['MA-021'],1,85,44.28428242,-69.79427473
44,Secondary,0.0003865253405288,MA-021,21,217,151-300,"['MA-021', 'NJ-070']",2,88,45.02228895,-68.79468837
46,Secondary,0.0001482011305651,MA-021,21,218,151-300,"['MA-021', 'NJ-070']",2,88,44.59146195,-68.03332566
47,Tertiary,0.0001482011305651,MA-021,21,335,301-600,"['MA-021', 'MI-481', 'NC-275', 'NJ-070']",4,86,46.72181325,-68.11694217
48,Secondary,0.0002082831834974,MA-021,21,159,151-300,"['MA-021', 'NJ-070']",2,88,44.15387451,-69.11161961
49,Secondary,0.000267363235547,MA-021,21,178,151-300,"['MA-021', 'NJ-070']",2,88,44.70606,-69.65431842
50,Secondary,0.0001191621049818,MA-021,21,119,51-150,"['MA-021', 'NJ-070']",2,88,43.7951267,-72.35990682
51,Primary,0.0001191621049818,MA-021,21,99,51-150,"['MA-021', 'NJ-070']",2,88,43.28894746,-72.55720508
52,Secondary,8.910007849716916e-05,MA-021,21,116,51-150,"['MA-021', 'NJ-070']",2,88,43.06891636,-73.12794727
53,Primary,8.910007849716916e-05,MA-021,21,94,51-150,"['MA-021', 'NJ-070']",2,88,42.94292113,-72.7295507
54,Secondary,0.0006248495504924,MA-021,21,183,151-300,"['MA-021', 'MI-481', 'NJ-070']",3,87,44.54390303,-73.10620947
56,Secondary,0.0003274452884792,MA-021,21,154,151-300,"['MA-021', 'MI-481', 'NJ-070']",3,87,44.3038876,-72.57091405
57,Secondary,0.0003564843140626,MA-021,21,137,51-150,"['MA-021', 'NJ-070']",2,88,43.69014437,-73.07828411
60,Primary,0.0023491950696408,NJ-070,70,96,51-150,"['MA-021', 'NJ-070']",2,88,41.9682,-73.4412
61,Primary,0.0007730516810585,NJ-070,70,83,51-150,"['MA-021', 'NJ-070']",2,88,41.5522,-73.0443
62,Primary,0.0006248495504924,MA-021,21,78,51-150,"['MA-021', 'NJ-070']",2,88,41.6929,-72.3122
63,Primary,0.0013378191786186,MA-021,21,73,51-150,"['MA-021', 'NJ-070']",2,88,41.6163,-72.0827
64,Primary,0.0023191540431747,MA-021,21,97,51-150,"['MA-021', 'NJ-070']",2,88,41.3877,-72.4336
65,Primary,0.0010113748910212,NJ-070,70,70,51-150,"['MA-021', 'NJ-070']",2,88,40.75607573,-72.78328693
66,Primary,0.0009512938380898,NJ-070,70,60,51-150,"['MA-021', 'NJ-070']",2,88,41.1777,-73.1933
67,Primary,0.0008621727595742,NJ-070,70,83,51-150,"['MA-021', 'NJ-070']",2,88,41.5522,-73.0443
68,Primary,0.0018134655976631,NJ-070,70,44,<50,['NJ-070'],1,92,41.0788,-73.4713
69,Primary,0.0003564843140626,NJ-070,70,42,<50,['NJ-070'],1,92,41.1003,-73.549
70,Primary,0.0081170381511106,NJ-070,70,0,<50,['NJ-070'],1,92,40.6674,-74.1146
71,Primary,0.0019626687291111,NJ-070,70,5,<50,['NJ-070'],1,92,40.7339,-74.1617
72,Primary,0.0013378191786186,NJ-070,70,8,<50,['NJ-070'],1,92,40.6965,-74.267
73,Primary,0.0009212528116237,NJ-070,70,5,<50,['NJ-070'],1,92,40.7148,-74.0371
74,Primary,0.0012186570736368,NJ-070,70,27,<50,['NJ-070'],1,92,41.0592,-74.1322
75,Primary,0.0009512938380898,NJ-070,70,17,<50,['NJ-070'],1,92,40.9125,-74.1653
76,Primary,0.0020217497811615,NJ-070,70,16,<50,['NJ-070'],1,92,40.887,-74.0391
77,Primary,0.0022600729911243,NJ-070,70,26,<50,['NJ-070'],1,92,40.3038,-73.9858
78,Primary,0.0011004969695378,NJ-070,70,33,<50,['NJ-070'],1,92,40.672,-74.7507
79,Primary,0.0007139706290081,NJ-070,70,42,<50,['NJ-070'],1,92,40.06206193,-74.22597178
80,Primary,0.0040434985623222,NJ-070,70,96,51-150,"['MA-021', 'NJ-070']",2,88,39.36192889,-74.75292026
81,Primary,0.0007139706290081,NJ-070,70,72,51-150,"['MA-021', 'NJ-070']",2,88,39.93994576,-75.10335695
82,Primary,0.0006538895760767,NJ-070,70,116,51-150,"['MA-021', 'NJ-070']",2,88,39.0817,-74.8214
83,Primary,0.00151606133565,NJ-070,70,95,51-150,"['MA-021', 'NJ-070']",2,88,39.47426061,-75.01237929
84,Primary,0.0004165663669949,NJ-070,70,94,51-150,"['MA-021', 'NJ-070']",2,88,39.3365,-74.4828
85,Primary,0.0009212528116237,NJ-070,70,56,51-150,"['MA-021', 'NJ-070']",2,88,39.89411341,-74.45477726
86,Primary,0.000981334864556,NJ-070,70,44,<50,['NJ-070'],1,92,40.22932944,-74.72748806
