zip3,market_type,pmf_norm,preferred_fc,preferred_fc_zip3,preferred_fc_distance,preferred_bucket,fc_set,fc_count,cluster_id,lat,lon
10,Primary,0.0020217497811615,GA-303,303,863,601-1000,['GA-303'],1,0,42.22159842,-72.57355816
11,Primary,0.0011595770215873,GA-303,303,858,601-1000,['GA-303'],1,0,42.10577295,-72.58373891
12,Secondary,0.000564768497561,GA-303,303,845,601-1000,['GA-303'],1,0,42.39659452,-73.23757603
13,Primary,0.0001482011305651,GA-303,303,880,601-1000,['GA-303'],1,0,42.57895574,-72.54004426
14,Primary,0.0007430106545923,GA-303,303,913,601-1000,['GA-303'],1,0,42.56623253,-71.6967241
15,Primary,0.0014569812836005,GA-303,303,897,601-1000,['GA-303'],1,0,42.24197516,-71.76761484
16,Primary,0.0008030917075237,GA-303,303,897,601-1000,['GA-303'],1,0,42.26459123,-71.79338084
17,Primary,0.0011896180480535,GA-303,303,915,601-1000,['GA-303'],1,0,42.33511609,-71.41725034
18,Primary,0.0027948004622192,GA-303,303,935,601-1000,['GA-303'],1,0,42.60905578,-71.20474104
19,Primary,0.0022600729911243,GA-303,303,944,601-1000,['GA-303'],1,0,42.55964044,-70.9448446
20,Primary,0.0016051824141657,GA-303,303,921,601-1000,['GA-303'],1,0,42.18647637,-71.14535043
21,Primary,0.0056486819764888,GA-303,303,930,601-1000,['GA-303'],1,0,42.35170427,-71.07717596
22,Primary,0.0002974042620131,GA-303,303,931,601-1000,['GA-303'],1,0,42.35386118,-71.06993122
23,Primary,0.0019917087546954,GA-303,303,924,601-1000,['GA-303'],1,0,42.07787459,-70.96676733
24,Primary,0.0006538895760767,GA-303,303,926,601-1000,['GA-303'],1,0,42.35635691,-71.1822087
25,Primary,0.0004756464190444,GA-303,303,925,601-1000,['GA-303'],1,0,41.61678456,-70.56772206
26,Primary,0.0006248495504924,GA-303,303,943,601-1000,['GA-303'],1,0,41.71246484,-70.23067692
27,Primary,0.0021709519126086,GA-303,303,907,601-1000,['GA-303'],1,0,41.77048621,-71.09835991
28,Primary,0.002764759435753,GA-303,303,888,601-1000,['GA-303'],1,0,41.70319953,-71.46661189
29,Primary,0.0016652644670979,GA-303,303,894,601-1000,['GA-303'],1,0,41.8087759,-71.42421299
30,Primary,0.0014569812836005,GA-303,303,936,601-1000,['GA-303'],1,0,42.84900883,-71.43806364
