zip3,market_type,fc,pmf_alloc,distance_bucket
10,Primary,MA-021,0.0018195748030453499,51-150
10,Primary,NJ-070,0.00020217497811614998,51-150
11,Primary,MA-021,0.0010436193194285702,51-150
11,Primary,NJ-070,0.00011595770215873,51-150
12,Secondary,MA-021,0.0005082916478049,51-150
12,Secondary,NJ-070,5.6476849756100005e-05,51-150
13,Primary,MA-021,0.00013338101750859,51-150
13,Primary,NJ-070,1.482011305651e-05,151-300
14,Primary,MA-021,0.00066870958913307,<50
15,Primary,MA-021,0.0013112831552404502,<50
16,Primary,MA-021,0.00072278253677133,<50
17,Primary,MA-021,0.00107065624324815,<50
18,Primary,MA-021,0.00251532041599728,<50
19,Primary,MA-021,0.00203406569201187,<50
20,Primary,MA-021,0.00144466417274913,<50
21,Primary,MA-021,0.005083813778839921,<50
22,Primary,MA-021,0.00026766383581179,<50
23,Primary,MA-021,0.00179253787922586,<50
24,Primary,MA-021,0.0005885006184690299,<50
25,Primary,MA-021,0.00042808177713996005,51-150
25,Primary,NJ-070,4.756464190444e-05,151-300
26,Primary,MA-021,0.0005623645954431599,51-150
26,Primary,NJ-070,6.248495504924e-05,151-300
27,Primary,MA-021,0.00195385672134774,<50
28,Primary,MA-021,0.0024882834921777,<50
29,Primary,MA-021,0.00149873802038811,<50
30,Primary,MA-021,0.0013112831552404502,<50
31,Primary,MA-021,0.00034787280647592,<50
32,Primary,MA-021,0.00066870958913307,51-150
32,Primary,NJ-070,7.430106545923e-05,151-300
33,Primary,MA-021,0.0002406269119923,51-150
33,Primary,NJ-070,2.67363235547e-05,151-300
34,Primary,MA-021,0.00016041794132817,51-150
34,Primary,NJ-070,1.782421570313e-05,151-300
35,Secondary,MA-021,0.00010724589448361999,151-300
35,Secondary,NJ-070,1.191621049818e-05,301-600
37,Secondary,MA-021,0.00026766383581179,51-150
37,Secondary,NJ-070,2.974042620131e-05,151-300
38,Primary,MA-021,0.00147170109656862,51-150
38,Primary,NJ-070,0.00016352234406318,151-300
39,Primary,MA-021,0.00013338101750859,51-150
39,Primary,NJ-070,1.482011305651e-05,151-300
40,Primary,MA-021,0.0010436193194285702,51-150
40,Primary,NJ-070,0.00011595770215873,151-300
41,Primary,MA-021,0.00072278253677133,51-150
41,Primary,NJ-070,8.030917075237001e-05,151-300
42,Secondary,MA-021,0.00026766383581179,51-150
43,Secondary,MA-021,0.00018745486514766,51-150
44,Secondary,MA-021,0.00034787280647592,151-300
44,Secondary,NJ-070,3.8652534052880005e-05,301-600
46,Secondary,MA-021,0.00013338101750859,151-300
46,Secondary,NJ-070,1.482011305651e-05,301-600
47,Tertiary,MA-021,0.00013338101750859,301-600
47,Tertiary,MI-481,4.940037685503334e-06,601-1000
47,Tertiary,NC-275,4.940037685503334e-06,601-1000
47,Tertiary,NJ-070,4.940037685503334e-06,301-600
48,Secondary,MA-021,0.00018745486514766,151-300
48,Secondary,NJ-070,2.082831834974e-05,301-600
49,Secondary,MA-021,0.0002406269119923,151-300
49,Secondary,NJ-070,2.67363235547e-05,301-600
50,Secondary,MA-021,0.00010724589448361999,51-150
50,Secondary,NJ-070,1.191621049818e-05,151-300
51,Primary,MA-021,0.00010724589448361999,51-150
51,Primary,NJ-070,1.191621049818e-05,151-300
52,Secondary,MA-021,8.019007064745225e-05,51-150
52,Secondary,NJ-070,8.910007849716915e-06,151-300
53,Primary,MA-021,8.019007064745225e-05,51-150
53,Primary,NJ-070,8.910007849716915e-06,151-300
54,Secondary,MA-021,0.0005623645954431599,151-300
54,Secondary,MI-481,3.124247752462e-05,301-600
54,Secondary,NJ-070,3.124247752462e-05,151-300
56,Secondary,MA-021,0.00029470075963128,151-300
56,Secondary,MI-481,1.637226442396e-05,301-600
56,Secondary,NJ-070,1.637226442396e-05,151-300
57,Secondary,MA-021,0.00032083588265634,51-150
57,Secondary,NJ-070,3.564843140626e-05,151-300
60,Primary,NJ-070,0.0021142755626767204,51-150
60,Primary,MA-021,0.00023491950696408003,51-150
61,Primary,NJ-070,0.0006957465129526501,51-150
61,Primary,MA-021,7.730516810585e-05,51-150
62,Primary,MA-021,0.0005623645954431599,51-150
62,Primary,NJ-070,6.248495504924e-05,51-150
63,Primary,MA-021,0.00120403726075674,51-150
63,Primary,NJ-070,0.00013378191786186,51-150
64,Primary,MA-021,0.00208723863885723,51-150
64,Primary,NJ-070,0.00023191540431746998,51-150
65,Primary,NJ-070,0.00091023740191908,51-150
65,Primary,MA-021,0.00010113748910212,51-150
66,Primary,NJ-070,0.0008561644542808201,51-150
66,Primary,MA-021,9.512938380898e-05,51-150
67,Primary,NJ-070,0.00077595548361678,51-150
67,Primary,MA-021,8.621727595742e-05,51-150
68,Primary,NJ-070,0.00163211903789679,<50
69,Primary,NJ-070,0.00032083588265634,<50
70,Primary,NJ-070,0.00730533433599954,<50
71,Primary,NJ-070,0.00176640185619999,<50
72,Primary,NJ-070,0.00120403726075674,<50
73,Primary,NJ-070,0.0008291275304613301,<50
74,Primary,NJ-070,0.00109679136627312,<50
75,Primary,NJ-070,0.0008561644542808201,<50
76,Primary,NJ-070,0.0018195748030453499,<50
77,Primary,NJ-070,0.00203406569201187,<50
78,Primary,NJ-070,0.00099044727258402,<50
79,Primary,NJ-070,0.0006425735661072901,<50
80,Primary,NJ-070,0.00363914870608998,51-150
80,Primary,MA-021,0.00040434985623222,151-300
81,Primary,NJ-070,0.0006425735661072901,51-150
81,Primary,MA-021,7.139706290081e-05,151-300
82,Primary,NJ-070,0.0005885006184690299,51-150
82,Primary,MA-021,6.538895760767e-05,151-300
83,Primary,NJ-070,0.001364455202085,51-150
83,Primary,MA-021,0.000151606133565,151-300
84,Primary,NJ-070,0.00037490973029541,51-150
84,Primary,MA-021,4.165663669949e-05,151-300
85,Primary,NJ-070,0.0008291275304613301,51-150
85,Primary,MA-021,9.212528116237e-05,151-300
86,Primary,NJ-070,0.0008832013781004001,<50
87,Primary,NJ-070,0.00144466417274913,<50
88,Primary,NJ-070,0.00326423897579448,<50
89,Primary,NJ-070,0.0002406269119923,<50
100,Primary,NJ-070,0.00596701425693951,<50
101,Primary,NJ-070,0.00026766383581179,<50
103,Primary,NJ-070,0.0030236120638021803,<50
104,Primary,NJ-070,0.0055930054274377205,<50
105,Primary,NJ-070,0.0018466108268641202,<50
107,Primary,NJ-070,0.00040104575332128,<50
108,Primary,NJ-070,0.00045511870095954,<50
109,Primary,NJ-070,0.00189978377370948,<50
110,Primary,NJ-070,0.00040104575332128,<50
111,Primary,NJ-070,0.001364455202085,<50
112,Primary,NJ-070,0.00800108084895219,<50
113,Primary,NJ-070,0.0024882834921777,<50
114,Primary,NJ-070,0.0022476565801854,<50
115,Primary,NJ-070,0.0023819393984886,<50
116,Primary,NJ-070,0.00029470075963128,<50
117,Primary,NJ-070,0.00465573110169906,<50
118,Primary,NJ-070,0.0002406269119923,<50
119,Primary,NJ-070,0.00101658239560908,51-150
119,Primary,MA-021,0.00011295359951212,51-150
120,Secondary,NJ-070,0.0012310741845763201,51-150
