market_type,distance_bucket,demand_share
Primary,<50,0.01896879471150814
Primary,51-150,0.006184407448462962
Primary,151-300,0.014390566678089245
Primary,301-600,0.17836353013827005
Primary,601-1000,0.2665784488556135
Primary,1001-1400,0.05036749337376167
Primary,1401-1800,0.04772189604299042
Primary,>1800,0.12824036997976596
Secondary,<50,0.0
Secondary,51-150,0.011386484031492432
Secondary,151-300,0.04566806023356107
Secondary,301-600,0.08387995589824115
Secondary,601-1000,0.07807999378847454
Secondary,1001-1400,0.018464019266800975
Secondary,1401-1800,0.008296260309005333
Secondary,>1800,0.031099269398456343
Tertiary,<50,0.0
Tertiary,51-150,0.0
Tertiary,151-300,0.0
Tertiary,301-600,0.007283904417119792
Tertiary,601-1000,0.0013687582058759795
Tertiary,1001-1400,0.0022900920175710675
Tertiary,1401-1800,0.001159412021441991
Tertiary,>1800,0.00020828318349748467
