preferred_fc,market_type,demand_share
AZ-852,Primary,0.03086296919027586
AZ-852,Secondary,0.009632098485878766
AZ-852,Tertiary,0.0
CA-900,Primary,0.07792997465630767
CA-900,Secondary,0.013142871578869862
CA-900,Tertiary,0.0
CA-945,Primary,0.031221458506104947
CA-945,Secondary,0.011028997716546989
CA-945,Tertiary,0.0
CO-802,Primary,0.045015215658404995
CO-802,Secondary,0.007192732336797189
CO-802,Tertiary,0.003748850302737117
FL-331,Primary,0.05337157902036112
FL-331,Secondary,0.00597612626496724
FL-331,Tertiary,0.0
GA-303,Primary,0.037432898978384005
GA-303,Secondary,0.042991398875422415
GA-303,Tertiary,0.002527437226672197
IL-606,Primary,0.07394255314338932
IL-606,Secondary,0.040587077757215505
IL-606,Tertiary,0.0
MA-021,Primary,0.04174374277623739
MA-021,Secondary,0.0065418737633907865
MA-021,Tertiary,0.00014820113056519604
MI-481,Primary,0.044627665316973146
MI-481,Secondary,0.038655546055536075
MI-481,Tertiary,0.0
NC-275,Primary,0.019149038870303246
NC-275,Secondary,0.0382659917123387
NC-275,Tertiary,0.0
NJ-070,Primary,0.15769646893058914
NJ-070,Secondary,0.017843179719841333
NJ-070,Tertiary,0.0
TX-750,Primary,0.02788988457098831
TX-750,Secondary,0.022953207221775563
TX-750,Tertiary,0.0
TX-770,Primary,0.030594584953829346
TX-770,Secondary,0.010614434351316664
TX-770,Tertiary,0.004756467190447595
UT-841,Primary,0.014302427600438717
UT-841,Secondary,0.003718015275571458
UT-841,Tertiary,0.0009212108115867251
WA-980,Primary,0.025035045055874696
WA-980,Secondary,0.007730491810563286
WA-980,Tertiary,0.00020828318349748467
