market_type,distance_bucket,demand_share
Primary,<50,0.03145677671342029
Primary,51-150,0.019178076895885746
Primary,151-300,0.19224742736998354
Primary,301-600,0.384355568617256
Primary,601-1000,0.08357765763191638
Primary,1001-1400,0.0
Primary,1401-1800,0.0
Primary,>1800,0.0
Secondary,<50,0.0037470743011724598
Secondary,51-150,0.027147814917224945
Secondary,151-300,0.0759100788767795
Secondary,301-600,0.11717727123317596
Secondary,601-1000,0.05289180359767898
Secondary,1001-1400,0.0
Secondary,1401-1800,0.0
Secondary,>1800,0.0
Tertiary,<50,0.0
Tertiary,51-150,0.0
Tertiary,151-300,0.0
Tertiary,301-600,0.009038165962624214
Tertiary,601-1000,0.003272283882882101
Tertiary,1001-1400,0.0
Tertiary,1401-1800,0.0
Tertiary,>1800,0.0
