preferred_fc,market_type,distance_bucket,demand_share
TX-750,Tertiary,<50,0.0
TX-750,Tertiary,51-150,0.0
TX-750,Tertiary,151-300,0.0
TX-750,Tertiary,301-600,0.0
TX-750,Tertiary,601-1000,0.0
TX-750,Tertiary,1001-1400,0.0
TX-750,Tertiary,1401-1800,0.0
TX-750,Tertiary,>1800,0.0
TX-770,Primary,<50,0.015906631013741925
TX-770,Primary,51-150,0.007492167600599657
TX-770,Primary,151-300,0.007195786339487766
TX-770,Primary,301-600,0.0
TX-770,Primary,601-1000,0.0
TX-770,Primary,1001-1400,0.0
TX-770,Primary,1401-1800,0.0
TX-770,Primary,>1800,0.0
TX-770,Secondary,<50,0.0
TX-770,Secondary,51-150,0.0014870223100666552
TX-770,Secondary,151-300,0.009127412041250008
TX-770,Secondary,301-600,0.0
TX-770,Secondary,601-1000,0.0
TX-770,Secondary,1001-1400,0.0
TX-770,Secondary,1401-1800,0.0
TX-770,Secondary,>1800,0.0
TX-770,Tertiary,<50,0.0
TX-770,Tertiary,51-150,0.0
TX-770,Tertiary,151-300,0.0
TX-770,Tertiary,301-600,0.004756467190447595
TX-770,Tertiary,601-1000,0.0
TX-770,Tertiary,1001-1400,0.0
TX-770,Tertiary,1401-1800,0.0
TX-770,Tertiary,>1800,0.0
IL-606,Primary,<50,0.02875109932971851
IL-606,Primary,51-150,0.01022790901078784
IL-606,Primary,151-300,0.023516979718459133
IL-606,Primary,301-600,0.01144656508442384
IL-606,Primary,601-1000,0.0
IL-606,Primary,1001-1400,0.0
IL-606,Primary,1401-1800,0.0
IL-606,Primary,>1800,0.0
IL-606,Secondary,<50,0.0
IL-606,Secondary,51-150,0.008919128857752524
IL-606,Secondary,151-300,0.012133350689481959
IL-606,Secondary,301-600,0.01873150650245723
IL-606,Secondary,601-1000,0.0008030917075237945
IL-606,Secondary,1001-1400,0.0
IL-606,Secondary,1401-1800,0.0
IL-606,Secondary,>1800,0.0
IL-606,Tertiary,<50,0.0
IL-606,Tertiary,51-150,0.0
IL-606,Tertiary,151-300,0.0
IL-606,Tertiary,301-600,0.0
IL-606,Tertiary,601-1000,0.0
IL-606,Tertiary,1001-1400,0.0
IL-606,Tertiary,1401-1800,0.0
IL-606,Tertiary,>1800,0.0
CO-802,Primary,<50,0.04141732248866111
CO-802,Primary,51-150,0.003597893169743883
CO-802,Primary,151-300,0.0
CO-802,Primary,301-600,0.0
CO-802,Primary,601-1000,0.0
CO-802,Primary,1001-1400,0.0
CO-802,Primary,1401-1800,0.0
CO-802,Primary,>1800,0.0
CO-802,Secondary,<50,0.0
CO-802,Secondary,51-150,0.003003084645717573
CO-802,Secondary,151-300,0.003209337827426626
CO-802,Secondary,301-600,0.00098030986365299
CO-802,Secondary,601-1000,0.0
CO-802,Secondary,1001-1400,0.0
CO-802,Secondary,1401-1800,0.0
CO-802,Secondary,>1800,0.0
CO-802,Tertiary,<50,0.0
CO-802,Tertiary,51-150,0.0
CO-802,Tertiary,151-300,0.0
CO-802,Tertiary,301-600,0.002975799621679467
CO-802,Tertiary,601-1000,0.0007730506810576501
CO-802,Tertiary,1001-1400,0.0
CO-802,Tertiary,1401-1800,0.0
CO-802,Tertiary,>1800,0.0
UT-841,Primary,<50,0.009276615172697967
UT-841,Primary,51-150,0.0005056874455106396
UT-841,Primary,151-300,0.0021709519126086353
UT-841,Primary,301-600,0.002349173069621475
UT-841,Primary,601-1000,0.0
UT-841,Primary,1001-1400,0.0
UT-841,Primary,1401-1800,0.0
UT-841,Primary,>1800,0.0
UT-841,Secondary,<50,0.0
UT-841,Secondary,51-150,0.00014916213141183778
UT-841,Secondary,151-300,0.0027958014631010893
UT-841,Secondary,301-600,0.000773051681058531
UT-841,Secondary,601-1000,0.0
UT-841,Secondary,1001-1400,0.0
UT-841,Secondary,1401-1800,0.0
UT-841,Secondary,>1800,0.0
UT-841,Tertiary,<50,0.0
UT-841,Tertiary,51-150,0.0
UT-841,Tertiary,151-300,0.0
UT-841,Tertiary,301-600,0.0009212108115867251
UT-841,Tertiary,601-1000,0.0
UT-841,Tertiary,1001-1400,0.0
UT-841,Tertiary,1401-1800,0.0
UT-841,Tertiary,>1800,0.0
WA-980,Primary,<50,0.013290072708554057
WA-980,Primary,51-150,0.010377112142235797
WA-980,Primary,151-300,0.0013678602050848406
WA-980,Primary,301-600,0.0
WA-980,Primary,601-1000,0.0
WA-980,Primary,1001-1400,0.0
WA-980,Primary,1401-1800,0.0
WA-980,Primary,>1800,0.0
WA-980,Secondary,<50,0.0
WA-980,Secondary,51-150,0.0017243445191475215
WA-980,Secondary,151-300,0.005203055583891969
WA-980,Secondary,301-600,0.0008030917075237944
WA-980,Secondary,601-1000,0.0
WA-980,Secondary,1001-1400,0.0
WA-980,Secondary,1401-1800,0.0
WA-980,Secondary,>1800,0.0
WA-980,Tertiary,<50,0.0
WA-980,Tertiary,51-150,0.0
WA-980,Tertiary,151-300,0.0
WA-980,Tertiary,301-600,0.00020828318349748467
WA-980,Tertiary,601-1000,0.0
WA-980,Tertiary,1001-1400,0.0
WA-980,Tertiary,1401-1800,0.0
WA-980,Tertiary,>1800,0.0
AZ-852,Primary,<50,0.025986337893963686
AZ-852,Primary,51-150,0.0007139706290081242
AZ-852,Primary,151-300,0.000773051681058531
