preferred_fc,market_type,demand_share
GA-303,AL,0.008742784702393324
GA-303,AR,0.006689094893092601
GA-303,FL,0.06868240050919486
GA-303,GA,0.0280351226989431
GA-303,IA,0.00761230770644309
GA-303,IL,0.036005963721254045
GA-303,IN,0.01935632105291885
GA-303,KS,0.0031813458027656525
GA-303,KY,0.012935627396287737
GA-303,LA,0.01100096069184637
GA-303,MI,0.00041656636699496935
GA-303,MN,0.0008922127860394645
GA-303,MO,0.019118994843834457
GA-303,MS,0.00428084077142072
GA-303,NC,0.02982055027190479
GA-303,NE,0.0015461023621161812
GA-303,OH,0.014896258123603408
GA-303,OK,0.0007129686281253614
GA-303,SC,0.013111831551523598
GA-303,TN,0.018790552554476803
GA-303,TX,0.002704677382820774
GA-303,VA,0.004074540589670259
GA-303,WI,0.002616537305169366
GA-303,WV,0.0024382521481001425
NY-134,CT,0.012398860923396475
NY-134,DC,0.0027948004622192074
NY-134,DE,0.004102578614371759
NY-134,MA,0.02661018644357426
NY-134,MD,0.01896879471150814
NY-134,ME,0.0037751313258906983
NY-134,MI,0.03092104624144174
NY-134,MN,0.009604060461177268
NY-134,NH,0.005083912478926894
NY-134,NJ,0.03535107214429456
NY-134,NY,0.07459944372210993
NY-134,OH,0.01840502821482986
NY-134,PA,0.041570448623565244
NY-134,RI,0.004430023902851059
NY-134,VA,0.02176359517372735
NY-134,VT,0.0017253035199924012
NY-134,WI,0.010642431375982043
NY-134,WV,0.00291296156631914
TX-799,AZ,0.029999815429837397
TX-799,KS,0.0027036933819538696
TX-799,NM,0.006720077920388649
TX-799,OK,0.009275612171814324
TX-799,TX,0.06193514056485884
UT-841,AZ,0.0012486981001030263
UT-841,CA,0.11836796528217743
UT-841,CO,0.048999634168677704
UT-841,IA,0.00038652534052882506
UT-841,ID,0.006542897764292932
UT-841,KS,5.9100052067145876e-05
UT-841,MN,0.0017834025711776654
UT-841,MT,0.0025873952794952413
UT-841,ND,0.0027066583845660372
UT-841,NE,0.002409151122462139
UT-841,NM,0.0002073011826323419
UT-841,NV,0.014005045338444943
UT-841,OR,0.011594766214989036
UT-841,SD,0.002349172069620593
UT-841,UT,0.010941899639813584
UT-841,WA,0.020842302362068382
UT-841,WY,0.001011250890912035
