market_type,OTD Promise (Days),gross_operating_profit
Primary,1,10410739.273103938
Primary,2,66728242.66390606
Primary,3,72786276.58424023
Primary,4,70681828.88257298
Primary,5,51611047.86676754
Primary,5+,39961827.26649551
Secondary,1,11166204.704134423
Secondary,2,32840951.99165982
Secondary,3,38655040.40207923
Secondary,4,35772761.32281304
Secondary,5,30565091.64092741
Secondary,5+,20938613.75632256
Tertiary,1,396008.07422607334
Tertiary,2,1385314.1678612218
Tertiary,3,1783239.5506627639
Tertiary,4,2004454.5840363964
Tertiary,5,1802898.9827366597
Tertiary,5+,1391667.685791007
