market_type,OTD Promise (Days),gross_operating_profit
Primary,1,99157233.61908993
Primary,2,108049261.06087896
Primary,3,97361374.57786365
Primary,4,82722518.72373416
Primary,5,55326801.72715382
Primary,5+,42132646.43039247
Secondary,1,32290116.48356782
Secondary,2,43334936.86217345
Secondary,3,45792469.845200665
Secondary,4,39032793.51624312
Secondary,5,31872855.405598424
Secondary,5+,21558543.41012145
Tertiary,1,874982.6386153045
Tertiary,2,1655448.3877399494
Tertiary,3,1954448.781128816
Tertiary,4,2098917.170569563
Tertiary,5,1834164.2218623273
Tertiary,5+,1406584.2335826936
