Network,OTD Promise (Days),Total Revenue,Total Shipping Cost,Net Revenue,Total COGS,Gross Operating Profit
1-FC,1,278639999.99999994,187007047.9485356,91632952.05146445,69659999.99999999,21972952.051464442
1-FC,2,258833836.70658612,93170868.7065125,165662968.0000736,64708459.17664653,100954508.8234271
1-FC,3,225267182.6004198,55725830.41333267,169541352.1870872,56316795.65010495,113224556.53698221
1-FC,4,179956791.8088696,26508549.067229755,153448242.7416398,44989197.9522174,108459044.78942244
1-FC,5,128257710.16216265,12214244.131190374,116043466.03097229,32064427.54054066,83979038.4904316
1-FC,5+,92335873.4555765,6959796.383073301,85376077.0725032,23083968.363894124,62292108.70860908
4-FC,1,278639999.99999994,126275002.4301919,152364997.56980804,69659999.99999999,82704997.56980805
4-FC,2,258833836.70658612,62489711.39925996,196344125.30732623,64708459.17664653,131635666.13067965
4-FC,3,225267182.6004198,36824468.60634081,188442713.99407905,56316795.65010495,132125918.34397408
4-FC,4,179956791.8088696,17124365.72673358,162832426.082136,44989197.9522174,117843228.12991855
4-FC,5,128257710.16216265,9705030.91756003,118552679.24460259,32064427.54054066,86488251.70406193
4-FC,5+,92335873.4555765,5699797.518645413,86636075.9369311,23083968.363894124,63552107.57303698
15-FC,1,278639999.99999994,76657667.25872694,201982332.74127305,69659999.99999999,132322332.74127305
15-FC,2,258833836.70658612,41085731.219147235,217748105.48743892,64708459.17664653,153039646.3107924
15-FC,3,225267182.6004198,23842093.74612175,201425088.85429806,56316795.65010495,145108293.20419317
15-FC,4,179956791.8088696,11113364.44610533,168843427.3627642,44989197.9522174,123854229.41054685
15-FC,5,128257710.16216265,7159461.267007408,121098248.89515525,32064427.54054066,89033821.35461459
15-FC,5+,92335873.4555765,4154131.0175857707,88181742.43799074,23083968.363894124,65097774.074096605
