zip3,preferred_fc,preferred_fc_zip3,preferred_fc_distance,distance_bucket,market_type,pmf,pmf_norm,lat,lon
70,GA-303,303,734,601-1000,Primary,0.008117031,0.008117038151110612,40.6674,-74.1146
71,GA-303,303,735,601-1000,Primary,0.001962667,0.0019626687291111502,40.7339,-74.1617
72,GA-303,303,729,601-1000,Primary,0.001337818,0.0013378191786186963,40.6965,-74.267
73,GA-303,303,740,601-1000,Primary,0.000921252,0.0009212528116237271,40.7148,-74.0371
74,GA-303,303,750,601-1000,Primary,0.001218656,0.001218657073636882,41.0592,-74.1322
75,GA-303,303,743,601-1000,Primary,0.000951293,0.0009512938380898713,40.9125,-74.1653
76,GA-303,303,747,601-1000,Primary,0.002021748,0.002021749781161557,40.887,-74.0391
77,GA-303,303,725,601-1000,Primary,0.002260071,0.0022600729911243056,40.3038,-73.9858
78,GA-303,303,708,601-1000,Primary,0.001100496,0.0011004969695378303,40.672,-74.7507
79,GA-303,303,705,601-1000,Primary,0.00071397,0.0007139706290081242,40.06206193,-74.22597178
80,GA-303,303,655,601-1000,Primary,0.004043495,0.004043498562322234,39.36192889,-74.75292026
81,GA-303,303,663,601-1000,Primary,0.00071397,0.0007139706290081242,39.93994576,-75.10335695
82,GA-303,303,642,601-1000,Primary,0.000653889,0.0006538895760767165,39.0817,-74.8214
83,GA-303,303,648,601-1000,Primary,0.00151606,0.0015160613356500368,39.47426061,-75.01237929
84,GA-303,303,667,601-1000,Primary,0.000416566,0.00041656636699496935,39.3365,-74.4828
85,GA-303,303,689,601-1000,Primary,0.000921252,0.0009212528116237271,39.89411341,-74.45477726
86,GA-303,303,690,601-1000,Primary,0.000981334,0.0009813348645560157,40.22932944,-74.72748806
87,GA-303,303,706,601-1000,Primary,0.001605181,0.001605182414165707,40.03073867,-74.191903
88,GA-303,303,712,601-1000,Primary,0.003626929,0.0036269321953272646,40.53162924,-74.5131388
89,GA-303,303,713,601-1000,Primary,0.000267363,0.00026736323554701056,40.48942037,-74.44261806
100,GA-303,303,743,601-1000,Primary,0.00663001,0.006630015841043957,40.74525552,-73.98520233
101,GA-303,303,743,601-1000,Primary,0.000297404,0.00029740426201315485,40.74727355,-73.9830577
103,GA-303,303,731,601-1000,Primary,0.003359566,0.003359568959780254,40.60260336,-74.1228694
104,GA-303,303,751,601-1000,Primary,0.006214445,0.006214450474930869,40.84227184,-73.88505434
105,GA-303,303,767,601-1000,Primary,0.002051788,0.002051789807626821,41.11518994,-73.78099939
107,GA-303,303,756,601-1000,Primary,0.000445606,0.00044560639257923185,40.94393272,-73.86919228
108,GA-303,303,759,601-1000,Primary,0.000505687,0.0005056874455106396,40.93233725,-73.78483333
109,GA-303,303,757,601-1000,Primary,0.002110869,0.0021108708596772273,41.211135,-74.11537659
110,GA-303,303,756,601-1000,Primary,0.000445606,0.00044560639257923185,40.74237028,-73.67615728
111,GA-303,303,745,601-1000,Primary,0.00151606,0.0015160613356500368,40.7491698,-73.94105235
112,GA-303,303,741,601-1000,Primary,0.008890082,0.008890089832169143,40.66649174,-73.95393848
113,GA-303,303,748,601-1000,Primary,0.002764757,0.0027647594357530633,40.74291633,-73.86860143
114,GA-303,303,749,601-1000,Primary,0.002497394,0.0024973962002060525,40.69842097,-73.81199682
115,GA-303,303,758,601-1000,Primary,0.002646597,0.0026465993316540115,40.72620155,-73.62281814
116,GA-303,303,745,601-1000,Primary,0.000327445,0.00032744528847929914,40.60472791,-73.81473256
117,GA-303,303,774,601-1000,Primary,0.00517303,0.0051730345574434455,40.78807368,-73.30625937
118,GA-303,303,763,601-1000,Primary,0.000267363,0.00026736323554701056,40.75869444,-73.53503889
119,GA-303,303,803,601-1000,Primary,0.001129535,0.0011295359951212119,40.87343242,-72.71286301
120,GA-303,303,835,601-1000,Secondary,0.001367859,0.0013678602050848406,42.75112857,-73.92861229
121,GA-303,303,836,601-1000,Secondary,0.001070455,0.001070455943071686,42.69234195,-73.84015671
122,GA-303,303,837,601-1000,Secondary,0.00071397,0.0007139706290081242,42.66180847,-73.76956911
123,GA-303,303,838,601-1000,Secondary,0.00074301,0.0007430106545923867,42.78925236,-73.90415864
124,GA-303,303,794,601-1000,Primary,0.001159576,0.0011595770215873562,42.03563672,-74.11526836
125,GA-303,303,788,601-1000,Primary,0.002408273,0.0024082751216903822,41.69834209,-73.89105316
126,GA-303,303,786,601-1000,Primary,5.91e-05,5.9100052067145876e-05,41.69560833,-73.9233869
127,GA-303,303,754,601-1000,Primary,0.000297404,0.00029740426201315485,41.65489609,-74.71532109
128,GA-303,303,872,601-1000,Secondary,0.000445606,0.00044560639257923185,43.31938779,-73.67786374
129,GA-303,303,931,601-1000,Secondary,0.000624849,0.000624849550492454,44.58697813,-73.8274599
130,GA-303,303,771,601-1000,Secondary,0.000803091,0.0008030917075237944,42.99775466,-76.20254689
131,GA-303,303,772,601-1000,Secondary,0.000238324,0.000238324209963629,43.06662667,-76.29617611
132,GA-303,303,776,601-1000,Secondary,0.0013979,0.0013979012315509852,43.05455039,-76.14863619
133,GA-303,303,808,601-1000,Secondary,0.000297404,0.00029740426201315485,43.12366951,-75.23849512
134,GA-303,303,804,601-1000,Secondary,0.000921252,0.0009212528116237271,43.10408259,-75.33231194
135,GA-303,303,808,601-1000,Secondary,8.91e-05,8.910007849716916e-05,43.10318462,-75.22635192
136,GA-303,303,862,601-1000,Secondary,0.001367859,0.0013678602050848406,44.2923,-75.55557203
137,GA-303,303,745,601-1000,Secondary,0.000416566,0.00041656636699496935,42.20430511,-75.71403139
