market_type,distance_bucket,demand_share,network
Primary,<50,0.3846500738767151,15FC
Primary,51-150,0.16266714230975238,15FC
Primary,151-300,0.14631294390170357,15FC
Primary,301-600,0.01718534714029083,15FC
Primary,601-1000,0.0,15FC
Primary,1001-1400,0.0,15FC
Primary,1401-1800,0.0,15FC
Primary,>1800,0.0,15FC
Secondary,<50,0.0,15FC
Secondary,51-150,0.1034716441585185,15FC
Secondary,151-300,0.1292793908951434,15FC
Secondary,301-600,0.043319916164846144,15FC
Secondary,601-1000,0.0008030917075237945,15FC
Secondary,1001-1400,0.0,15FC
Secondary,1401-1800,0.0,15FC
Secondary,>1800,0.0,15FC
Tertiary,<50,0.0,15FC
Tertiary,51-150,0.0,15FC
Tertiary,151-300,0.0,15FC
Tertiary,301-600,0.011537399164448665,15FC
Tertiary,601-1000,0.0007730506810576501,15FC
Tertiary,1001-1400,0.0,15FC
Tertiary,1401-1800,0.0,15FC
Tertiary,>1800,0.0,15FC
