preferred_fc,market_type,distance_bucket,demand_share,network
AZ-852,Primary,<50,0.025986337893963686,15FC
AZ-852,Primary,51-150,0.0007139706290081242,15FC
AZ-852,Primary,151-300,0.000773051681058531,15FC
AZ-852,Primary,301-600,0.0033896089862455172,15FC
AZ-852,Primary,601-1000,0.0,15FC
AZ-852,Primary,1001-1400,0.0,15FC
AZ-852,Primary,1401-1800,0.0,15FC
AZ-852,Primary,>1800,0.0,15FC
AZ-852,Secondary,<50,0.0,15FC
AZ-852,Secondary,51-150,0.0037160532738429344,15FC
AZ-852,Secondary,151-300,0.0020217487811606764,15FC
AZ-852,Secondary,301-600,0.003894296430875156,15FC
AZ-852,Secondary,601-1000,0.0,15FC
AZ-852,Secondary,1001-1400,0.0,15FC
AZ-852,Secondary,1401-1800,0.0,15FC
AZ-852,Secondary,>1800,0.0,15FC
AZ-852,Tertiary,<50,0.0,15FC
AZ-852,Tertiary,51-150,0.0,15FC
AZ-852,Tertiary,151-300,0.0,15FC
AZ-852,Tertiary,301-600,0.0,15FC
AZ-852,Tertiary,601-1000,0.0,15FC
AZ-852,Tertiary,1001-1400,0.0,15FC
AZ-852,Tertiary,1401-1800,0.0,15FC
AZ-852,Tertiary,>1800,0.0,15FC
CA-900,Primary,<50,0.04920791535217343,15FC
CA-900,Primary,51-150,0.01825582608338278,15FC
CA-900,Primary,151-300,0.010466233220751468,15FC
CA-900,Primary,301-600,0.0,15FC
CA-900,Primary,601-1000,0.0,15FC
CA-900,Primary,1001-1400,0.0,15FC
CA-900,Primary,1401-1800,0.0,15FC
CA-900,Primary,>1800,0.0,15FC
CA-900,Secondary,<50,0.0,15FC
CA-900,Secondary,51-150,0.013142871578869862,15FC
CA-900,Secondary,151-300,0.0,15FC
CA-900,Secondary,301-600,0.0,15FC
CA-900,Secondary,601-1000,0.0,15FC
CA-900,Secondary,1001-1400,0.0,15FC
CA-900,Secondary,1401-1800,0.0,15FC
CA-900,Secondary,>1800,0.0,15FC
CA-900,Tertiary,<50,0.0,15FC
CA-900,Tertiary,51-150,0.0,15FC
CA-900,Tertiary,151-300,0.0,15FC
CA-900,Tertiary,301-600,0.0,15FC
CA-900,Tertiary,601-1000,0.0,15FC
CA-900,Tertiary,1001-1400,0.0,15FC
CA-900,Tertiary,1401-1800,0.0,15FC
CA-900,Tertiary,>1800,0.0,15FC
CA-945,Primary,<50,0.019180081897652152,15FC
CA-945,Primary,51-150,0.012041376608452793,15FC
CA-945,Primary,151-300,0.0,15FC
CA-945,Primary,301-600,0.0,15FC
CA-945,Primary,601-1000,0.0,15FC
CA-945,Primary,1001-1400,0.0,15FC
CA-945,Primary,1401-1800,0.0,15FC
CA-945,Primary,>1800,0.0,15FC
CA-945,Secondary,<50,0.0,15FC
CA-945,Secondary,51-150,0.0046673471119328055,15FC
CA-945,Secondary,151-300,0.0051730345574434455,15FC
CA-945,Secondary,301-600,0.0011886160471707378,15FC
CA-945,Secondary,601-1000,0.0,15FC
CA-945,Secondary,1001-1400,0.0,15FC
CA-945,Secondary,1401-1800,0.0,15FC
CA-945,Secondary,>1800,0.0,15FC
CA-945,Tertiary,<50,0.0,15FC
CA-945,Tertiary,51-150,0.0,15FC
CA-945,Tertiary,151-300,0.0,15FC
CA-945,Tertiary,301-600,0.0,15FC
CA-945,Tertiary,601-1000,0.0,15FC
CA-945,Tertiary,1001-1400,0.0,15FC
CA-945,Tertiary,1401-1800,0.0,15FC
CA-945,Tertiary,>1800,0.0,15FC
CO-802,Primary,<50,0.04141732248866111,15FC
CO-802,Primary,51-150,0.003597893169743883,15FC
CO-802,Primary,151-300,0.0,15FC
CO-802,Primary,301-600,0.0,15FC
CO-802,Primary,601-1000,0.0,15FC
CO-802,Primary,1001-1400,0.0,15FC
CO-802,Primary,1401-1800,0.0,15FC
CO-802,Primary,>1800,0.0,15FC
CO-802,Secondary,<50,0.0,15FC
CO-802,Secondary,51-150,0.003003084645717573,15FC
CO-802,Secondary,151-300,0.003209337827426626,15FC
CO-802,Secondary,301-600,0.00098030986365299,15FC
CO-802,Secondary,601-1000,0.0,15FC
CO-802,Secondary,1001-1400,0.0,15FC
CO-802,Secondary,1401-1800,0.0,15FC
CO-802,Secondary,>1800,0.0,15FC
CO-802,Tertiary,<50,0.0,15FC
CO-802,Tertiary,51-150,0.0,15FC
CO-802,Tertiary,151-300,0.0,15FC
CO-802,Tertiary,301-600,0.002975799621679467,15FC
CO-802,Tertiary,601-1000,0.0007730506810576501,15FC
CO-802,Tertiary,1001-1400,0.0,15FC
CO-802,Tertiary,1401-1800,0.0,15FC
CO-802,Tertiary,>1800,0.0,15FC
FL-331,Primary,<50,0.01685892685271456,15FC
FL-331,Primary,51-150,0.006392693631963091,15FC
FL-331,Primary,151-300,0.030119958535683472,15FC
FL-331,Primary,301-600,0.0,15FC
FL-331,Primary,601-1000,0.0,15FC
FL-331,Primary,1001-1400,0.0,15FC
FL-331,Primary,1401-1800,0.0,15FC
FL-331,Primary,>1800,0.0,15FC
FL-331,Secondary,<50,0.0,15FC
FL-331,Secondary,51-150,0.004132619640837904,15FC
FL-331,Secondary,151-300,0.001843506624129336,15FC
FL-331,Secondary,301-600,0.0,15FC
FL-331,Secondary,601-1000,0.0,15FC
FL-331,Secondary,1001-1400,0.0,15FC
FL-331,Secondary,1401-1800,0.0,15FC
FL-331,Secondary,>1800,0.0,15FC
FL-331,Tertiary,<50,0.0,15FC
FL-331,Tertiary,51-150,0.0,15FC
FL-331,Tertiary,151-300,0.0,15FC
FL-331,Tertiary,301-600,0.0,15FC
FL-331,Tertiary,601-1000,0.0,15FC
FL-331,Tertiary,1001-1400,0.0,15FC
FL-331,Tertiary,1401-1800,0.0,15FC
FL-331,Tertiary,>1800,0.0,15FC
GA-303,Primary,<50,0.01896879471150814,15FC
GA-303,Primary,51-150,0.006184407448462962,15FC
GA-303,Primary,151-300,0.0122796968184129,15FC
GA-303,Primary,301-600,0.0,15FC
GA-303,Primary,601-1000,0.0,15FC
GA-303,Primary,1001-1400,0.0,15FC
GA-303,Primary,1401-1800,0.0,15FC
GA-303,Primary,>1800,0.0,15FC
GA-303,Secondary,<50,0.0,15FC
GA-303,Secondary,51-150,0.011386484031492432,15FC
GA-303,Secondary,151-300,0.026550042390587347,15FC
GA-303,Secondary,301-600,0.005054872453342632,15FC
GA-303,Secondary,601-1000,0.0,15FC
GA-303,Secondary,1001-1400,0.0,15FC
GA-303,Secondary,1401-1800,0.0,15FC
GA-303,Secondary,>1800,0.0,15FC
GA-303,Tertiary,<50,0.0,15FC
GA-303,Tertiary,51-150,0.0,15FC
GA-303,Tertiary,151-300,0.0,15FC
GA-303,Tertiary,301-600,0.002527437226672197,15FC
GA-303,Tertiary,601-1000,0.0,15FC
GA-303,Tertiary,1001-1400,0.0,15FC
GA-303,Tertiary,1401-1800,0.0,15FC
GA-303,Tertiary,>1800,0.0,15FC
IL-606,Primary,<50,0.02875109932971851,15FC
IL-606,Primary,51-150,0.01022790901078784,15FC
IL-606,Primary,151-300,0.023516979718459133,15FC
IL-606,Primary,301-600,0.01144656508442384,15FC
IL-606,Primary,601-1000,0.0,15FC
IL-606,Primary,1001-1400,0.0,15FC
IL-606,Primary,1401-1800,0.0,15FC
IL-606,Primary,>1800,0.0,15FC
IL-606,Secondary,<50,0.0,15FC
IL-606,Secondary,51-150,0.008919128857752524,15FC
IL-606,Secondary,151-300,0.012133350689481959,15FC
IL-606,Secondary,301-600,0.01873150650245723,15FC
IL-606,Secondary,601-1000,0.0008030917075237945,15FC
IL-606,Secondary,1001-1400,0.0,15FC
IL-606,Secondary,1401-1800,0.0,15FC
IL-606,Secondary,>1800,0.0,15FC
IL-606,Tertiary,<50,0.0,15FC
IL-606,Tertiary,51-150,0.0,15FC
IL-606,Tertiary,151-300,0.0,15FC
IL-606,Tertiary,301-600,0.0,15FC
IL-606,Tertiary,601-1000,0.0,15FC
IL-606,Tertiary,1001-1400,0.0,15FC
IL-606,Tertiary,1401-1800,0.0,15FC
IL-606,Tertiary,>1800,0.0,15FC
MA-021,Primary,<50,0.02788892457014255,15FC
MA-021,Primary,51-150,0.01385481820609484,15FC
MA-021,Primary,151-300,0.0,15FC
MA-021,Primary,301-600,0.0,15FC
MA-021,Primary,601-1000,0.0,15FC
MA-021,Primary,1001-1400,0.0,15FC
MA-021,Primary,1401-1800,0.0,15FC
MA-021,Primary,>1800,0.0,15FC
MA-021,Secondary,<50,0.0,15FC
MA-021,Secondary,51-150,0.0038351943788062478,15FC
MA-021,Secondary,151-300,0.002706679384584538,15FC
MA-021,Secondary,301-600,0.0,15FC
MA-021,Secondary,601-1000,0.0,15FC
MA-021,Secondary,1001-1400,0.0,15FC
MA-021,Secondary,1401-1800,0.0,15FC
MA-021,Secondary,>1800,0.0,15FC
MA-021,Tertiary,<50,0.0,15FC
MA-021,Tertiary,51-150,0.0,15FC
MA-021,Tertiary,151-300,0.0,15FC
MA-021,Tertiary,301-600,0.00014820113056519604,15FC
MA-021,Tertiary,601-1000,0.0,15FC
MA-021,Tertiary,1001-1400,0.0,15FC
MA-021,Tertiary,1401-1800,0.0,15FC
MA-021,Tertiary,>1800,0.0,15FC
MI-481,Primary,<50,0.019057915790023812,15FC
MI-481,Primary,51-150,0.010792675508347125,15FC
MI-481,Primary,151-300,0.014777074018602211,15FC
MI-481,Primary,301-600,0.0,15FC
MI-481,Primary,601-1000,0.0,15FC
MI-481,Primary,1001-1400,0.0,15FC
MI-481,Primary,1401-1800,0.0,15FC
MI-481,Primary,>1800,0.0,15FC
MI-481,Secondary,<50,0.0,15FC
MI-481,Secondary,51-150,0.016175997251053578,15FC
MI-481,Secondary,151-300,0.0224795488044825,15FC
MI-481,Secondary,301-600,0.0,15FC
MI-481,Secondary,601-1000,0.0,15FC
MI-481,Secondary,1001-1400,0.0,15FC
MI-481,Secondary,1401-1800,0.0,15FC
MI-481,Secondary,>1800,0.0,15FC
MI-481,Tertiary,<50,0.0,15FC
MI-481,Tertiary,51-150,0.0,15FC
MI-481,Tertiary,151-300,0.0,15FC
MI-481,Tertiary,301-600,0.0,15FC
MI-481,Tertiary,601-1000,0.0,15FC
MI-481,Tertiary,1001-1400,0.0,15FC
MI-481,Tertiary,1401-1800,0.0,15FC
MI-481,Tertiary,>1800,0.0,15FC
NC-275,Primary,<50,0.006600976815460575,15FC
NC-275,Primary,51-150,0.010436191194284444,15FC
NC-275,Primary,151-300,0.002111870860558228,15FC
NC-275,Primary,301-600,0.0,15FC
NC-275,Primary,601-1000,0.0,15FC
NC-275,Primary,1001-1400,0.0,15FC
NC-275,Primary,1401-1800,0.0,15FC
NC-275,Primary,>1800,0.0,15FC
NC-275,Secondary,<50,0.0,15FC
NC-275,Secondary,51-150,0.023458899667290607,15FC
NC-275,Secondary,151-300,0.014807092045048093,15FC
NC-275,Secondary,301-600,0.0,15FC
NC-275,Secondary,601-1000,0.0,15FC
NC-275,Secondary,1001-1400,0.0,15FC
NC-275,Secondary,1401-1800,0.0,15FC
NC-275,Secondary,>1800,0.0,15FC
NC-275,Tertiary,<50,0.0,15FC
NC-275,Tertiary,51-150,0.0,15FC
NC-275,Tertiary,151-300,0.0,15FC
