fc_id,fc_target_max,fc_target_mean
AZ-852,366.8238052933746,263.2869724654011
CA-900,824.9816565822956,592.1287538231829
CA-945,382.7249592695592,274.6999904557344
CO-802,506.8835999444632,363.81457935917575
FL-331,537.6000668104365,385.86125530897664
GA-303,751.416724655257,539.3276871334058
IL-606,1037.4644972020692,744.637841293355
MA-021,438.7368220927227,314.902380736986
MI-481,754.4193963825796,541.4828481043847
NC-275,520.0929695386585,373.295575080952
NJ-070,1590.122590058788,1141.306961391423
TX-750,460.56118620303585,330.5667696606856
TX-770,416.3774907926267,298.85402029962296
UT-841,171.58261198128653,123.15303910041663
WA-980,298.6927258032153,214.38604130740998
