fc_id,fc_target_max,fc_target_mean
AZ-852,366.82348212160224,263.28674050957835
CA-900,824.9809297734561,592.1282321577509
CA-945,382.72462208887003,274.69974844504276
CO-802,506.88315338001166,363.8142588385313
FL-331,537.5995931847775,385.8609153652107
GA-303,751.4160626571226,539.3272119857133
IL-606,1037.4635831958474,744.6371852674167
MA-021,438.7364355655825,314.90210330798857
MI-481,754.4187317390915,541.4823710579956
NC-275,520.0925113367523,373.2952462075503
NJ-070,1590.121189160786,1141.3059558999898
TX-750,460.5607804486308,330.56647843136153
TX-770,416.3771239640573,298.85375700923106
UT-841,171.58246081700534,123.15293060258918
WA-980,298.6924626549239,214.3858524333076
